run,val_bpb,peak_vram_mb,training_seconds,total_seconds,status
1,1.09403300,47060.500,300.400,342.900,ok
2,1.09139800,47060.500,300.500,343.100,ok
3,1.11991400,47060.500,300.600,343.200,ok
4,1.17657300,47060.500,300.500,343.600,ok
5,1.09846500,47060.500,300.500,343.500,ok
6,1.09290400,47060.500,300.100,343.300,ok
7,1.11585700,47060.500,300.100,343.400,ok
8,1.09083500,47060.500,300.300,343.000,ok
9,1.22019100,47060.500,300.600,344.300,ok
10,1.13121000,47060.500,300.600,343.400,ok
11,1.12622400,47060.500,300.000,343.800,ok
12,1.11288500,47060.500,300.600,343.700,ok
13,1.10035700,47060.500,300.100,342.700,ok
14,1.13442200,47060.500,300.600,342.700,ok
15,1.09736400,47060.500,300.500,343.000,ok
16,1.10728700,47060.500,300.300,343.300,ok
17,1.09613500,47060.500,300.500,343.600,ok
18,1.10638100,47060.500,300.200,342.800,ok
19,1.09934900,47060.500,300.300,343.000,ok
20,1.09849800,47060.500,300.500,343.000,ok
21,1.09223800,47060.500,300.500,343.500,ok
22,1.10243400,47060.500,300.400,343.900,ok
23,1.11826900,47060.500,300.400,343.200,ok
24,1.10050100,47060.500,300.200,343.000,ok
25,1.13303100,47060.500,300.100,342.800,ok
26,1.10022600,47060.500,300.600,343.700,ok
27,1.08980300,47060.500,300.400,343.300,ok
28,1.09625900,47060.500,300.300,342.700,ok
29,1.11207000,47060.500,300.000,343.100,ok
30,1.09794600,47060.500,300.300,329.500,ok
31,1.11263000,47060.500,300.600,343.300,ok
32,1.10729200,47060.500,300.400,342.500,ok
33,1.11439400,47060.500,300.000,344.300,ok
34,1.11479900,47060.500,300.200,343.500,ok
35,1.11378100,47060.500,300.100,342.800,ok
36,1.13699800,47060.500,300.300,342.600,ok
37,1.09794800,47060.500,300.400,329.900,ok
38,1.09333900,47060.500,300.600,343.800,ok
39,1.09822100,47060.500,300.300,343.900,ok
40,1.09512300,47060.500,300.500,344.000,ok
41,1.10342900,47060.500,300.200,343.200,ok
42,1.16220400,47060.500,300.600,344.100,ok
43,1.13175100,47060.500,300.400,344.100,ok
44,1.10701600,47060.500,300.300,343.600,ok
45,1.09858100,47060.500,300.100,342.800,ok
46,1.10357700,47060.500,300.400,344.100,ok
47,1.11349300,47060.500,300.100,342.800,ok
48,1.09135700,47060.500,300.500,343.700,ok
49,1.11800900,47060.500,300.100,342.800,ok
50,1.10549700,47060.500,300.200,343.000,ok
51,1.11771800,47060.500,300.100,342.800,ok
52,1.09596000,47060.500,300.100,343.400,ok
53,1.10538100,47060.500,300.100,342.900,ok
54,1.12048900,47060.500,300.300,343.300,ok
55,1.09908300,47060.500,300.100,342.700,ok
56,1.16014700,47060.500,300.100,343.000,ok
57,1.09216500,47060.500,300.600,343.300,ok
58,1.12262400,47060.500,300.200,328.600,ok
59,1.16044500,47060.500,300.100,343.200,ok
60,1.09938200,47060.500,300.500,343.100,ok
61,1.12051400,47060.500,300.200,344.500,ok
62,1.09910400,47060.500,300.100,343.700,ok
63,1.10555700,47060.500,300.500,343.900,ok
64,1.08623000,47060.500,300.500,342.900,ok
65,1.12111800,47060.500,300.500,343.800,ok
66,1.10087100,47060.500,300.000,342.500,ok
67,1.10039500,47060.500,300.100,342.900,ok
68,1.11307500,47060.500,300.500,343.100,ok
69,1.10050800,47060.500,300.500,343.600,ok
70,1.10299100,47060.500,300.400,344.200,ok
71,1.09456100,47060.500,300.100,342.400,ok
72,1.12161300,47060.500,300.400,343.500,ok
73,1.09937500,47060.500,300.200,343.500,ok
74,1.09082800,47060.500,300.100,343.500,ok
75,1.10365400,47060.500,300.400,343.900,ok
76,1.10481600,47060.500,300.200,342.900,ok
77,1.10472100,47060.500,300.400,343.400,ok
78,1.09376300,47060.500,300.100,342.600,ok
79,1.10109500,47060.500,300.200,344.100,ok
80,1.13776900,47060.500,300.400,343.200,ok
81,1.12165100,47060.500,300.200,343.000,ok
82,1.10671900,47060.500,300.500,343.500,ok
83,1.09410400,47060.500,300.300,344.400,ok
84,1.10389600,47060.500,300.000,342.100,ok
85,1.11060600,47060.500,300.600,343.000,ok
86,1.17916100,47060.500,300.300,343.800,ok
87,1.10816300,47060.500,300.200,344.200,ok
88,1.12271400,47060.500,300.400,343.200,ok
89,1.16157900,47060.500,300.100,342.700,ok
90,1.12609900,47060.500,300.100,328.700,ok
91,1.11242300,47060.500,300.300,343.800,ok
92,1.09322200,47060.500,300.400,344.600,ok
93,1.10860300,47060.500,300.100,343.600,ok
94,1.10874700,47060.500,300.000,343.400,ok
95,1.11921700,47060.500,300.600,344.400,ok
96,1.12694200,47060.500,300.100,342.200,ok
97,1.08687700,47060.500,300.400,343.600,ok
98,1.10713600,47060.500,300.200,342.800,ok
99,1.08839900,47060.500,300.100,343.100,ok
100,1.13898800,47060.500,300.100,342.600,ok
