run_id,val_bpb,improved,best_val_bpb,embedding_lr,unembedding_lr,matrix_lr,scalar_lr,weight_decay,adam_beta1,adam_beta2,warmup_ratio,warmdown_ratio,dropout
1,1.11595704,1,1.11595704,0.5574603175,0.0077619048,0.0344139194,0.6921489621,0.2431013431,0.6020415140,0.8569496947,0.0392673993,0.6136019536,0.3670818071
2,1.10103708,1,1.10103708,0.3614407814,0.0111047619,0.0458241758,0.5216361416,0.2409035409,0.9405616606,0.8965738706,0.1604395604,0.5903540904,0.1260073260
3,1.11121870,0,1.10103708,1.1340048840,0.0168380952,0.0272344322,0.1915140415,0.0489621490,0.7210989011,0.9033052503,0.1669597070,0.5276434676,0.2315995116
4,1.10866756,0,1.10103708,0.6012698413,0.0187333333,0.0375091575,0.2012576313,0.0429792430,0.8432185592,0.9746578755,0.2296703297,0.3887423687,0.2383394383
5,1.13437144,0,1.10103708,0.2693284493,0.0177952381,0.0145787546,0.9327228327,0.0593406593,0.8615921856,0.9450034188,0.1441758242,0.6141880342,0.1892063492
6,1.13435633,0,1.10103708,0.4580463980,0.0028238095,0.0115567766,0.9679853480,0.4713064713,0.6490891331,0.8830019536,0.2038095238,0.2918437118,0.3024175824
7,1.11821599,0,1.10103708,0.6240170940,0.0146809524,0.0639926740,0.1427960928,0.3963369963,0.9457582418,0.8766344322,0.1696703297,0.6503296703,0.2890354090
8,1.09203345,1,1.09203345,0.4698412698,0.0183523810,0.0478205128,0.3550671551,0.0926739927,0.7030036630,0.8560400488,0.1590476190,0.7542612943,0.0667155067
9,1.09836674,0,1.09203345,0.8694627595,0.0077714286,0.0633882784,0.0968620269,0.0575091575,0.8637264957,0.9206249084,0.2896703297,0.8222466422,0.1135042735
10,1.10035672,0,1.09203345,0.5608302808,0.0104476190,0.0712087912,0.9939682540,0.4860805861,0.8333821734,0.8565494505,0.0462271062,0.5284249084,0.1502319902
1,1.09403279,1,1.09403279,0.1828327228,0.0096666667,0.0573260073,0.9911843712,0.2771672772,0.9488205128,0.9010857143,0.0020512821,0.5885958486,0.0225641026
2,1.09139807,1,1.09139807,0.2833699634,0.0127809524,0.0534798535,0.1131013431,0.0860805861,0.8408986569,0.8788903541,0.2394139194,0.8515506716,0.0004884005
3,1.11991416,0,1.09139807,0.3406593407,0.0177047619,0.0778021978,0.9413064713,0.0216117216,0.8664175824,0.8872227106,0.2274725275,0.3906959707,0.3395360195
4,1.17657333,0,1.09139807,0.9026007326,0.0040571429,0.0108241758,0.9331868132,0.1357753358,0.8736556777,0.9591211233,0.2909890110,0.7732112332,0.2125518926
5,1.09846538,0,1.09139807,0.4903418803,0.0100333333,0.0573076923,0.1669230769,0.4798534799,0.6711746032,0.9321956044,0.2789743590,0.4366056166,0.0088888889
6,1.09290439,0,1.09139807,0.1039194139,0.0151095238,0.0315384615,0.3655067155,0.0725274725,0.7821587302,0.8951912088,0.0882783883,0.4198046398,0.0315506716
7,1.11585694,0,1.09139807,0.2766300366,0.0023809524,0.0373992674,0.4879975580,0.2912087912,0.9005665446,0.9448942613,0.0585347985,0.2232722833,0.2980219780
8,1.09083451,1,1.09083451,1.0163369963,0.0048238095,0.0717399267,0.5281318681,0.0506715507,0.7602588523,0.8514918193,0.1904029304,0.6393894994,0.0923076923
9,1.22019120,0,1.09083451,1.1354090354,0.0022047619,0.0086996337,0.8167277167,0.1228327228,0.7317704518,0.9178595849,0.0228571429,0.7216361416,0.3747985348
10,1.13120952,0,1.09083451,0.6950671551,0.0005714286,0.0562271062,0.4647985348,0.0477411477,0.7872625153,0.8975926740,0.0075457875,0.5825396825,0.0582173382
11,1.12622356,0,1.09083451,0.4998901099,0.0175095238,0.0320329670,0.1107814408,0.2811965812,0.8446105006,0.8505094017,0.0491575092,0.1343833944,0.3547741148
12,1.11288500,0,1.09083451,0.0924053724,0.0194000000,0.0204945055,0.1713308913,0.3482295482,0.7063443223,0.9658888889,0.0915018315,0.2721123321,0.2123565324
13,1.10035671,0,1.09083451,0.1828327228,0.0053190476,0.0467765568,0.1235409035,0.2768009768,0.9438095238,0.8530200244,0.0161172161,0.8038827839,0.0853724054
14,1.13442238,0,1.09083451,0.1145909646,0.0192809524,0.0211538462,0.2724786325,0.2824175824,0.7065299145,0.8552395604,0.0742857143,0.8554578755,0.3757753358
15,1.09736370,0,1.09083451,0.7725763126,0.0136428571,0.0762271062,0.5845054945,0.3358974359,0.9486349206,0.9213526252,0.0641758242,0.7667643468,0.0646642247
16,1.10728697,0,1.09083451,0.2558485958,0.0145047619,0.0410622711,0.8765811966,0.4373626374,0.8232673993,0.8643724054,0.0243956044,0.1967032967,0.1718192918
17,1.09613550,0,1.09083451,0.7085470085,0.0129666667,0.0714652015,0.1307326007,0.0288156288,0.9358290598,0.9469318681,0.2119413919,0.7999755800,0.0073260073
18,1.10638120,0,1.09083451,0.8972649573,0.0042666667,0.0757692308,0.8628937729,0.2301587302,0.8495286935,0.8890783883,0.2053479853,0.1265689866,0.0906471306
19,1.09934867,0,1.09083451,0.5007326007,0.0042190476,0.0759706960,0.4622466422,0.1483516484,0.8308766789,0.9946700855,0.1263736264,0.8691330891,0.1306959707
20,1.09849831,0,1.09083451,0.7649938950,0.0095095238,0.0680402930,0.4629426129,0.4572649573,0.9009377289,0.9472957265,0.2468131868,0.4014407814,0.0342857143
21,1.09223768,0,1.09083451,0.7402808303,0.0171142857,0.0758241758,0.5265079365,0.4146520147,0.8867399267,0.9401641026,0.0109890110,0.6026617827,0.0320390720
