run,val_bpb,peak_vram_mb,training_seconds,total_seconds,status,binary_string,norm_type,attention_type,mlp_type,value_embeddings,qk_norm,rope_base
1,1.11176400,55109.500,300.000,353.000,ok,101100,LayerNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k
2,1.10248900,59333.500,300.300,354.400,ok,111110,LayerNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k
3,1.10325800,52155.500,300.700,333.100,ok,001010,RMSNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k
4,1.09827200,39692.500,300.400,341.400,ok,010000,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k
5,1.09214100,51030.500,300.500,348.100,ok,100110,LayerNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k
6,1.08262400,43852.500,300.500,345.600,ok,010011,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k
7,1.14149600,53885.500,300.700,348.000,ok,101000,LayerNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k
8,1.10963800,49806.500,300.400,331.400,ok,110011,LayerNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k
9,1.10984400,49806.500,300.400,331.600,ok,100010,LayerNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k
10,1.10443600,49155.500,300.200,347.100,ok,011100,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k
11,1.09098900,53315.500,300.200,333.600,ok,011110,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k
12,1.07718800,40852.500,300.100,342.600,ok,010101,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k
13,1.11110700,55109.500,300.100,334.900,ok,101101,LayerNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k
14,1.09055600,51030.500,300.300,332.100,ok,110111,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
15,1.08803200,43852.500,300.300,330.000,ok,010010,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k
16,1.07121500,45012.500,300.400,346.200,ok,000111,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
17,1.11326200,58109.500,300.800,351.200,ok,101011,LayerNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k
18,1.07516100,40852.500,300.200,329.900,ok,000101,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k
19,1.10253700,59333.500,300.600,335.600,ok,101110,LayerNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k
20,1.07822800,40852.500,300.300,330.100,ok,010101,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k
21,1.07716400,45012.500,300.400,329.700,ok,010110,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k
22,1.08451100,40852.500,300.500,329.900,ok,000101,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k
23,1.13985900,53885.500,300.300,333.600,ok,101001,LayerNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,NoQKNorm,RoPEBase50k
24,1.08913000,51030.500,300.400,331.900,ok,110111,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
25,1.07950400,40852.500,300.400,330.300,ok,000100,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k
26,1.14150600,53885.500,300.300,333.800,ok,101000,LayerNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k
27,1.10426500,39692.500,300.400,329.700,ok,010000,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k
28,1.10252200,52155.500,300.500,333.000,ok,011011,RMSNorm,SlidingWindowAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k
29,1.08071600,40852.500,300.200,329.900,ok,010101,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k
30,1.10548700,49155.500,300.700,333.700,ok,011101,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k
31,1.11522900,58109.500,300.400,334.600,ok,111011,LayerNorm,SlidingWindowAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k
32,1.09771600,39692.500,300.500,330.200,ok,010000,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k
33,1.10202500,46806.500,300.500,346.900,ok,110100,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k
34,1.08815300,43852.500,300.200,330.300,ok,010011,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k
35,1.07301600,45012.500,300.500,330.400,ok,000110,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k
36,1.09010300,53315.500,300.100,333.500,ok,001111,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
