Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=12 binary=010101
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'rmsnorm', 'attention_type': 'sliding_window', 'mlp_type': 'relu2', 'use_value_embeddings': True, 'use_qk_norm': False, 'rope_base': 50000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011380 | lrm: 1.00 | dt: 12295ms | tok/sec: 42,641 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854855 | lrm: 1.00 | dt: 572ms | tok/sec: 916,567 | mfu: 22.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.446286 | lrm: 1.00 | dt: 572ms | tok/sec: 916,634 | mfu: 22.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.980676 | lrm: 1.00 | dt: 572ms | tok/sec: 916,455 | mfu: 22.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.587154 | lrm: 1.00 | dt: 572ms | tok/sec: 915,796 | mfu: 22.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.257320 | lrm: 1.00 | dt: 572ms | tok/sec: 916,324 | mfu: 22.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.006298 | lrm: 1.00 | dt: 573ms | tok/sec: 915,367 | mfu: 22.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.794687 | lrm: 1.00 | dt: 573ms | tok/sec: 915,302 | mfu: 22.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.614205 | lrm: 1.00 | dt: 573ms | tok/sec: 915,604 | mfu: 22.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.461869 | lrm: 1.00 | dt: 573ms | tok/sec: 914,474 | mfu: 22.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.331911 | lrm: 1.00 | dt: 573ms | tok/sec: 914,969 | mfu: 22.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.223583 | lrm: 1.00 | dt: 573ms | tok/sec: 915,324 | mfu: 22.1% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.127709 | lrm: 1.00 | dt: 574ms | tok/sec: 913,767 | mfu: 22.1% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.042452 | lrm: 1.00 | dt: 573ms | tok/sec: 914,514 | mfu: 22.1% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 5.970379 | lrm: 1.00 | dt: 574ms | tok/sec: 913,549 | mfu: 22.1% | epoch: 1 | remaining: 298s    
step 00015 (0.8%) | loss: 5.904260 | lrm: 1.00 | dt: 574ms | tok/sec: 913,452 | mfu: 22.1% | epoch: 1 | remaining: 297s    
step 00016 (1.0%) | loss: 5.847708 | lrm: 1.00 | dt: 574ms | tok/sec: 913,570 | mfu: 22.1% | epoch: 1 | remaining: 297s    
step 00017 (1.1%) | loss: 5.793226 | lrm: 1.00 | dt: 574ms | tok/sec: 914,041 | mfu: 22.1% | epoch: 1 | remaining: 296s    
step 00018 (1.3%) | loss: 5.744224 | lrm: 1.00 | dt: 574ms | tok/sec: 913,040 | mfu: 22.1% | epoch: 1 | remaining: 295s    
step 00019 (1.5%) | loss: 5.698059 | lrm: 1.00 | dt: 574ms | tok/sec: 913,234 | mfu: 22.1% | epoch: 1 | remaining: 295s    
step 00020 (1.7%) | loss: 5.655711 | lrm: 1.00 | dt: 574ms | tok/sec: 913,722 | mfu: 22.1% | epoch: 1 | remaining: 294s    
step 00021 (1.9%) | loss: 5.615886 | lrm: 1.00 | dt: 574ms | tok/sec: 913,373 | mfu: 22.1% | epoch: 1 | remaining: 294s    
step 00022 (2.1%) | loss: 5.580517 | lrm: 1.00 | dt: 575ms | tok/sec: 912,276 | mfu: 22.0% | epoch: 1 | remaining: 293s    
step 00023 (2.3%) | loss: 5.543241 | lrm: 1.00 | dt: 574ms | tok/sec: 913,172 | mfu: 22.1% | epoch: 1 | remaining: 293s    
step 00024 (2.5%) | loss: 5.507831 | lrm: 1.00 | dt: 575ms | tok/sec: 912,462 | mfu: 22.0% | epoch: 1 | remaining: 292s    
step 00025 (2.7%) | loss: 5.475424 | lrm: 1.00 | dt: 575ms | tok/sec: 911,616 | mfu: 22.0% | epoch: 1 | remaining: 291s    
step 00026 (2.9%) | loss: 5.441785 | lrm: 1.00 | dt: 575ms | tok/sec: 911,387 | mfu: 22.0% | epoch: 1 | remaining: 291s    
step 00027 (3.1%) | loss: 5.412809 | lrm: 1.00 | dt: 575ms | tok/sec: 912,506 | mfu: 22.0% | epoch: 1 | remaining: 290s    
step 00028 (3.3%) | loss: 5.386075 | lrm: 1.00 | dt: 574ms | tok/sec: 913,673 | mfu: 22.1% | epoch: 1 | remaining: 290s    
step 00029 (3.4%) | loss: 5.360978 | lrm: 1.00 | dt: 575ms | tok/sec: 911,962 | mfu: 22.0% | epoch: 1 | remaining: 289s    
step 00030 (3.6%) | loss: 5.332628 | lrm: 1.00 | dt: 575ms | tok/sec: 911,612 | mfu: 22.0% | epoch: 1 | remaining: 289s    
step 00031 (3.8%) | loss: 5.305214 | lrm: 1.00 | dt: 575ms | tok/sec: 912,057 | mfu: 22.0% | epoch: 1 | remaining: 288s    
step 00032 (4.0%) | loss: 5.280417 | lrm: 1.00 | dt: 574ms | tok/sec: 913,087 | mfu: 22.1% | epoch: 1 | remaining: 287s    
step 00033 (4.2%) | loss: 5.257300 | lrm: 1.00 | dt: 575ms | tok/sec: 911,991 | mfu: 22.0% | epoch: 1 | remaining: 287s    
step 00034 (4.4%) | loss: 5.227292 | lrm: 1.00 | dt: 576ms | tok/sec: 910,283 | mfu: 22.0% | epoch: 1 | remaining: 286s    
step 00035 (4.6%) | loss: 5.200069 | lrm: 1.00 | dt: 575ms | tok/sec: 911,744 | mfu: 22.0% | epoch: 1 | remaining: 286s    
step 00036 (4.8%) | loss: 5.176140 | lrm: 1.00 | dt: 575ms | tok/sec: 912,444 | mfu: 22.0% | epoch: 1 | remaining: 285s    
