Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=16 binary=000111
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'rmsnorm', 'attention_type': 'standard', 'mlp_type': 'relu2', 'use_value_embeddings': True, 'use_qk_norm': True, 'rope_base': 50000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.768271e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011380 | lrm: 1.00 | dt: 15176ms | tok/sec: 34,547 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854858 | lrm: 1.00 | dt: 584ms | tok/sec: 897,679 | mfu: 25.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.446322 | lrm: 1.00 | dt: 584ms | tok/sec: 897,731 | mfu: 25.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.980726 | lrm: 1.00 | dt: 584ms | tok/sec: 897,497 | mfu: 25.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.592911 | lrm: 1.00 | dt: 584ms | tok/sec: 897,221 | mfu: 25.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.261251 | lrm: 1.00 | dt: 584ms | tok/sec: 897,063 | mfu: 25.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.010681 | lrm: 1.00 | dt: 585ms | tok/sec: 895,625 | mfu: 25.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.800199 | lrm: 1.00 | dt: 585ms | tok/sec: 896,738 | mfu: 25.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.620196 | lrm: 1.00 | dt: 585ms | tok/sec: 896,632 | mfu: 25.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.467325 | lrm: 1.00 | dt: 585ms | tok/sec: 896,133 | mfu: 25.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.340196 | lrm: 1.00 | dt: 585ms | tok/sec: 896,524 | mfu: 25.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.232460 | lrm: 1.00 | dt: 585ms | tok/sec: 896,007 | mfu: 25.1% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.138635 | lrm: 1.00 | dt: 585ms | tok/sec: 896,414 | mfu: 25.1% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.054864 | lrm: 1.00 | dt: 585ms | tok/sec: 895,802 | mfu: 25.1% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 5.983895 | lrm: 1.00 | dt: 585ms | tok/sec: 895,700 | mfu: 25.1% | epoch: 1 | remaining: 298s    
step 00015 (0.8%) | loss: 5.917840 | lrm: 1.00 | dt: 585ms | tok/sec: 895,726 | mfu: 25.1% | epoch: 1 | remaining: 297s    
step 00016 (1.0%) | loss: 5.860828 | lrm: 1.00 | dt: 586ms | tok/sec: 895,349 | mfu: 25.0% | epoch: 1 | remaining: 296s    
step 00017 (1.2%) | loss: 5.806155 | lrm: 1.00 | dt: 586ms | tok/sec: 894,488 | mfu: 25.0% | epoch: 1 | remaining: 296s    
step 00018 (1.4%) | loss: 5.757342 | lrm: 1.00 | dt: 586ms | tok/sec: 895,037 | mfu: 25.0% | epoch: 1 | remaining: 295s    
step 00019 (1.6%) | loss: 5.710935 | lrm: 1.00 | dt: 585ms | tok/sec: 895,461 | mfu: 25.1% | epoch: 1 | remaining: 295s    
step 00020 (1.8%) | loss: 5.668164 | lrm: 1.00 | dt: 586ms | tok/sec: 894,585 | mfu: 25.0% | epoch: 1 | remaining: 294s    
step 00021 (2.0%) | loss: 5.629207 | lrm: 1.00 | dt: 586ms | tok/sec: 894,436 | mfu: 25.0% | epoch: 1 | remaining: 294s    
step 00022 (2.1%) | loss: 5.593633 | lrm: 1.00 | dt: 586ms | tok/sec: 894,539 | mfu: 25.0% | epoch: 1 | remaining: 293s    
step 00023 (2.3%) | loss: 5.557187 | lrm: 1.00 | dt: 586ms | tok/sec: 894,207 | mfu: 25.0% | epoch: 1 | remaining: 292s    
step 00024 (2.5%) | loss: 5.522257 | lrm: 1.00 | dt: 586ms | tok/sec: 894,220 | mfu: 25.0% | epoch: 1 | remaining: 292s    
step 00025 (2.7%) | loss: 5.491264 | lrm: 1.00 | dt: 587ms | tok/sec: 892,904 | mfu: 25.0% | epoch: 1 | remaining: 291s    
step 00026 (2.9%) | loss: 5.457760 | lrm: 1.00 | dt: 586ms | tok/sec: 894,184 | mfu: 25.0% | epoch: 1 | remaining: 291s    
step 00027 (3.1%) | loss: 5.429409 | lrm: 1.00 | dt: 587ms | tok/sec: 893,812 | mfu: 25.0% | epoch: 1 | remaining: 290s    
step 00028 (3.3%) | loss: 5.402764 | lrm: 1.00 | dt: 587ms | tok/sec: 893,159 | mfu: 25.0% | epoch: 1 | remaining: 289s    
step 00029 (3.5%) | loss: 5.376388 | lrm: 1.00 | dt: 586ms | tok/sec: 894,039 | mfu: 25.0% | epoch: 1 | remaining: 289s    
step 00030 (3.7%) | loss: 5.350644 | lrm: 1.00 | dt: 587ms | tok/sec: 893,712 | mfu: 25.0% | epoch: 1 | remaining: 288s    
step 00031 (3.9%) | loss: 5.323207 | lrm: 1.00 | dt: 587ms | tok/sec: 893,568 | mfu: 25.0% | epoch: 1 | remaining: 288s    
step 00032 (4.1%) | loss: 5.298417 | lrm: 1.00 | dt: 587ms | tok/sec: 893,785 | mfu: 25.0% | epoch: 1 | remaining: 287s    
step 00033 (4.3%) | loss: 5.275232 | lrm: 1.00 | dt: 586ms | tok/sec: 893,957 | mfu: 25.0% | epoch: 1 | remaining: 287s    
step 00034 (4.5%) | loss: 5.246099 | lrm: 1.00 | dt: 587ms | tok/sec: 893,795 | mfu: 25.0% | epoch: 1 | remaining: 286s    
step 00035 (4.7%) | loss: 5.219463 | lrm: 1.00 | dt: 587ms | tok/sec: 893,599 | mfu: 25.0% | epoch: 1 | remaining: 285s    
step 00036 (4.9%) | loss: 5.194297 | lrm: 1.00 | dt: 587ms | tok/sec: 893,214 | mfu: 25.0% | epoch: 1 | remaining: 285s    
