Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=18 binary=000101
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'rmsnorm', 'attention_type': 'standard', 'mlp_type': 'relu2', 'use_value_embeddings': True, 'use_qk_norm': False, 'rope_base': 50000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.768271e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011380 | lrm: 1.00 | dt: 2970ms | tok/sec: 176,532 | mfu: 4.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854856 | lrm: 1.00 | dt: 573ms | tok/sec: 915,730 | mfu: 25.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.446287 | lrm: 1.00 | dt: 573ms | tok/sec: 915,776 | mfu: 25.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.980669 | lrm: 1.00 | dt: 573ms | tok/sec: 915,018 | mfu: 25.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.587178 | lrm: 1.00 | dt: 573ms | tok/sec: 915,133 | mfu: 25.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.257345 | lrm: 1.00 | dt: 573ms | tok/sec: 914,444 | mfu: 25.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.006322 | lrm: 1.00 | dt: 574ms | tok/sec: 913,253 | mfu: 25.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.794701 | lrm: 1.00 | dt: 573ms | tok/sec: 914,572 | mfu: 25.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.614210 | lrm: 1.00 | dt: 574ms | tok/sec: 913,179 | mfu: 25.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.461863 | lrm: 1.00 | dt: 574ms | tok/sec: 912,661 | mfu: 25.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.331874 | lrm: 1.00 | dt: 574ms | tok/sec: 913,642 | mfu: 25.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.223452 | lrm: 1.00 | dt: 574ms | tok/sec: 913,802 | mfu: 25.6% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.127059 | lrm: 1.00 | dt: 574ms | tok/sec: 912,727 | mfu: 25.5% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.042065 | lrm: 1.00 | dt: 575ms | tok/sec: 911,980 | mfu: 25.5% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 5.971479 | lrm: 1.00 | dt: 574ms | tok/sec: 913,537 | mfu: 25.6% | epoch: 1 | remaining: 298s    
step 00015 (0.8%) | loss: 5.906329 | lrm: 1.00 | dt: 574ms | tok/sec: 913,107 | mfu: 25.5% | epoch: 1 | remaining: 297s    
step 00016 (1.0%) | loss: 5.850502 | lrm: 1.00 | dt: 575ms | tok/sec: 911,347 | mfu: 25.5% | epoch: 1 | remaining: 297s    
step 00017 (1.1%) | loss: 5.796407 | lrm: 1.00 | dt: 576ms | tok/sec: 910,791 | mfu: 25.5% | epoch: 1 | remaining: 296s    
step 00018 (1.3%) | loss: 5.748174 | lrm: 1.00 | dt: 574ms | tok/sec: 913,196 | mfu: 25.5% | epoch: 1 | remaining: 295s    
step 00019 (1.5%) | loss: 5.702637 | lrm: 1.00 | dt: 575ms | tok/sec: 912,488 | mfu: 25.5% | epoch: 1 | remaining: 295s    
step 00020 (1.7%) | loss: 5.660722 | lrm: 1.00 | dt: 576ms | tok/sec: 910,410 | mfu: 25.5% | epoch: 1 | remaining: 294s    
step 00021 (1.9%) | loss: 5.621211 | lrm: 1.00 | dt: 575ms | tok/sec: 911,386 | mfu: 25.5% | epoch: 1 | remaining: 294s    
step 00022 (2.1%) | loss: 5.585654 | lrm: 1.00 | dt: 575ms | tok/sec: 912,483 | mfu: 25.5% | epoch: 1 | remaining: 293s    
step 00023 (2.3%) | loss: 5.551168 | lrm: 1.00 | dt: 575ms | tok/sec: 912,200 | mfu: 25.5% | epoch: 1 | remaining: 293s    
step 00024 (2.5%) | loss: 5.515268 | lrm: 1.00 | dt: 576ms | tok/sec: 910,548 | mfu: 25.5% | epoch: 1 | remaining: 292s    
step 00025 (2.7%) | loss: 5.484073 | lrm: 1.00 | dt: 576ms | tok/sec: 910,808 | mfu: 25.5% | epoch: 1 | remaining: 291s    
step 00026 (2.9%) | loss: 5.451915 | lrm: 1.00 | dt: 575ms | tok/sec: 911,545 | mfu: 25.5% | epoch: 1 | remaining: 291s    
step 00027 (3.1%) | loss: 5.422982 | lrm: 1.00 | dt: 575ms | tok/sec: 912,451 | mfu: 25.5% | epoch: 1 | remaining: 290s    
step 00028 (3.3%) | loss: 5.395688 | lrm: 1.00 | dt: 575ms | tok/sec: 911,442 | mfu: 25.5% | epoch: 1 | remaining: 290s    
step 00029 (3.4%) | loss: 5.370608 | lrm: 1.00 | dt: 576ms | tok/sec: 910,525 | mfu: 25.5% | epoch: 1 | remaining: 289s    
step 00030 (3.6%) | loss: 5.344109 | lrm: 1.00 | dt: 576ms | tok/sec: 910,837 | mfu: 25.5% | epoch: 1 | remaining: 289s    
step 00031 (3.8%) | loss: 5.316142 | lrm: 1.00 | dt: 575ms | tok/sec: 911,480 | mfu: 25.5% | epoch: 1 | remaining: 288s    
step 00032 (4.0%) | loss: 5.291391 | lrm: 1.00 | dt: 575ms | tok/sec: 911,130 | mfu: 25.5% | epoch: 1 | remaining: 287s    
step 00033 (4.2%) | loss: 5.268630 | lrm: 1.00 | dt: 577ms | tok/sec: 909,201 | mfu: 25.4% | epoch: 1 | remaining: 287s    
step 00034 (4.4%) | loss: 5.240028 | lrm: 1.00 | dt: 576ms | tok/sec: 909,707 | mfu: 25.5% | epoch: 1 | remaining: 286s    
step 00035 (4.6%) | loss: 5.216034 | lrm: 1.00 | dt: 576ms | tok/sec: 910,631 | mfu: 25.5% | epoch: 1 | remaining: 286s    
step 00036 (4.8%) | loss: 5.191371 | lrm: 1.00 | dt: 575ms | tok/sec: 911,395 | mfu: 25.5% | epoch: 1 | remaining: 285s    
