Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=21 binary=010110
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'rmsnorm', 'attention_type': 'sliding_window', 'mlp_type': 'relu2', 'use_value_embeddings': True, 'use_qk_norm': True, 'rope_base': 10000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011380 | lrm: 1.00 | dt: 2858ms | tok/sec: 183,474 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854869 | lrm: 1.00 | dt: 585ms | tok/sec: 896,366 | mfu: 21.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.446690 | lrm: 1.00 | dt: 586ms | tok/sec: 895,438 | mfu: 21.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.981133 | lrm: 1.00 | dt: 586ms | tok/sec: 895,121 | mfu: 21.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.587604 | lrm: 1.00 | dt: 586ms | tok/sec: 894,113 | mfu: 21.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.257676 | lrm: 1.00 | dt: 586ms | tok/sec: 894,607 | mfu: 21.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.006619 | lrm: 1.00 | dt: 586ms | tok/sec: 894,106 | mfu: 21.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.795044 | lrm: 1.00 | dt: 587ms | tok/sec: 893,181 | mfu: 21.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.614466 | lrm: 1.00 | dt: 587ms | tok/sec: 893,325 | mfu: 21.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.462116 | lrm: 1.00 | dt: 587ms | tok/sec: 893,577 | mfu: 21.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.335375 | lrm: 1.00 | dt: 587ms | tok/sec: 893,668 | mfu: 21.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.225263 | lrm: 1.00 | dt: 587ms | tok/sec: 893,416 | mfu: 21.6% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.129596 | lrm: 1.00 | dt: 587ms | tok/sec: 892,840 | mfu: 21.6% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.045825 | lrm: 1.00 | dt: 587ms | tok/sec: 892,787 | mfu: 21.6% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 5.976760 | lrm: 1.00 | dt: 587ms | tok/sec: 893,131 | mfu: 21.6% | epoch: 1 | remaining: 298s    
step 00015 (0.8%) | loss: 5.913239 | lrm: 1.00 | dt: 587ms | tok/sec: 892,773 | mfu: 21.6% | epoch: 1 | remaining: 297s    
step 00016 (1.0%) | loss: 5.854982 | lrm: 1.00 | dt: 587ms | tok/sec: 892,971 | mfu: 21.6% | epoch: 1 | remaining: 296s    
step 00017 (1.2%) | loss: 5.801263 | lrm: 1.00 | dt: 588ms | tok/sec: 892,183 | mfu: 21.6% | epoch: 1 | remaining: 296s    
step 00018 (1.4%) | loss: 5.754483 | lrm: 1.00 | dt: 587ms | tok/sec: 892,696 | mfu: 21.6% | epoch: 1 | remaining: 295s    
step 00019 (1.6%) | loss: 5.709727 | lrm: 1.00 | dt: 587ms | tok/sec: 892,594 | mfu: 21.6% | epoch: 1 | remaining: 295s    
step 00020 (1.8%) | loss: 5.668072 | lrm: 1.00 | dt: 588ms | tok/sec: 891,414 | mfu: 21.5% | epoch: 1 | remaining: 294s    
step 00021 (2.0%) | loss: 5.629598 | lrm: 1.00 | dt: 588ms | tok/sec: 890,935 | mfu: 21.5% | epoch: 1 | remaining: 294s    
step 00022 (2.2%) | loss: 5.593954 | lrm: 1.00 | dt: 588ms | tok/sec: 892,205 | mfu: 21.6% | epoch: 1 | remaining: 293s    
step 00023 (2.3%) | loss: 5.559562 | lrm: 1.00 | dt: 588ms | tok/sec: 892,379 | mfu: 21.6% | epoch: 1 | remaining: 292s    
step 00024 (2.5%) | loss: 5.523993 | lrm: 1.00 | dt: 588ms | tok/sec: 891,311 | mfu: 21.5% | epoch: 1 | remaining: 292s    
step 00025 (2.7%) | loss: 5.492727 | lrm: 1.00 | dt: 588ms | tok/sec: 891,274 | mfu: 21.5% | epoch: 1 | remaining: 291s    
step 00026 (2.9%) | loss: 5.459003 | lrm: 1.00 | dt: 588ms | tok/sec: 891,494 | mfu: 21.5% | epoch: 1 | remaining: 291s    
step 00027 (3.1%) | loss: 5.429732 | lrm: 1.00 | dt: 588ms | tok/sec: 891,263 | mfu: 21.5% | epoch: 1 | remaining: 290s    
step 00028 (3.3%) | loss: 5.402048 | lrm: 1.00 | dt: 588ms | tok/sec: 891,642 | mfu: 21.5% | epoch: 1 | remaining: 289s    
step 00029 (3.5%) | loss: 5.375718 | lrm: 1.00 | dt: 588ms | tok/sec: 890,984 | mfu: 21.5% | epoch: 1 | remaining: 289s    
step 00030 (3.7%) | loss: 5.348491 | lrm: 1.00 | dt: 588ms | tok/sec: 891,262 | mfu: 21.5% | epoch: 1 | remaining: 288s    
step 00031 (3.9%) | loss: 5.319257 | lrm: 1.00 | dt: 589ms | tok/sec: 890,417 | mfu: 21.5% | epoch: 1 | remaining: 288s    
step 00032 (4.1%) | loss: 5.294036 | lrm: 1.00 | dt: 588ms | tok/sec: 891,079 | mfu: 21.5% | epoch: 1 | remaining: 287s    
step 00033 (4.3%) | loss: 5.266252 | lrm: 1.00 | dt: 588ms | tok/sec: 891,672 | mfu: 21.5% | epoch: 1 | remaining: 286s    
step 00034 (4.5%) | loss: 5.237051 | lrm: 1.00 | dt: 589ms | tok/sec: 890,469 | mfu: 21.5% | epoch: 1 | remaining: 286s    
step 00035 (4.7%) | loss: 5.213363 | lrm: 1.00 | dt: 588ms | tok/sec: 891,168 | mfu: 21.5% | epoch: 1 | remaining: 285s    
step 00036 (4.9%) | loss: 5.189194 | lrm: 1.00 | dt: 589ms | tok/sec: 890,395 | mfu: 21.5% | epoch: 1 | remaining: 285s    
step 00037 (5.1%) | loss: 5.164174 | lrm: 1.00 | dt: 589ms | tok/sec: 890,421 | mfu: 21.5% | epoch: 1 | remaining: 284s    
step 00038 (5.3%) | loss: 5.139344 | lrm: 1.00 | dt: 589ms | tok/sec: 890,745 | mfu: 21.5% | epoch: 1 | remaining: 284s    
step 00039 (5.5%) | loss: 5.114070 | lrm: 1.00 | dt: 589ms | tok/sec: 890,412 | mfu: 21.5% | epoch: 1 | remaining: 283s    
step 00040 (5.7%) | loss: 5.084822 | lrm: 1.00 | dt: 589ms | tok/sec: 890,025 | mfu: 21.5% | epoch: 1 | remaining: 282s    
step 00041 (5.9%) | loss: 5.057976 | lrm: 1.00 | dt: 589ms | tok/sec: 890,063 | mfu: 21.5% | epoch: 1 | remaining: 282s    
step 00042 (6.1%) | loss: 5.032536 | lrm: 1.00 | dt: 589ms | tok/sec: 889,965 | mfu: 21.5% | epoch: 1 | remaining: 281s    
step 00043 (6.3%) | loss: 5.006567 | lrm: 1.00 | dt: 589ms | tok/sec: 890,406 | mfu: 21.5% | epoch: 1 | remaining: 281s    
step 00044 (6.5%) | loss: 4.979368 | lrm: 1.00 | dt: 588ms | tok/sec: 891,102 | mfu: 21.5% | epoch: 1 | remaining: 280s    
step 00045 (6.7%) | loss: 4.952408 | lrm: 1.00 | dt: 589ms | tok/sec: 889,668 | mfu: 21.5% | epoch: 1 | remaining: 279s    
step 00046 (6.9%) | loss: 4.926191 | lrm: 1.00 | dt: 589ms | tok/sec: 889,535 | mfu: 21.5% | epoch: 1 | remaining: 279s    
step 00047 (7.1%) | loss: 4.894946 | lrm: 1.00 | dt: 589ms | tok/sec: 889,954 | mfu: 21.5% | epoch: 1 | remaining: 278s    
step 00048 (7.3%) | loss: 4.870070 | lrm: 1.00 | dt: 589ms | tok/sec: 890,114 | mfu: 21.5% | epoch: 1 | remaining: 278s    
step 00049 (7.5%) | loss: 4.841896 | lrm: 1.00 | dt: 590ms | tok/sec: 889,219 | mfu: 21.5% | epoch: 1 | remaining: 277s    
step 00050 (7.6%) | loss: 4.811703 | lrm: 1.00 | dt: 590ms | tok/sec: 888,422 | mfu: 21.5% | epoch: 1 | remaining: 276s    
step 00051 (7.8%) | loss: 4.785477 | lrm: 1.00 | dt: 591ms | tok/sec: 887,839 | mfu: 21.5% | epoch: 1 | remaining: 276s    
step 00052 (8.0%) | loss: 4.757958 | lrm: 1.00 | dt: 590ms | tok/sec: 888,729 | mfu: 21.5% | epoch: 1 | remaining: 275s    
step 00053 (8.2%) | loss: 4.734317 | lrm: 1.00 | dt: 590ms | tok/sec: 888,467 | mfu: 21.5% | epoch: 1 | remaining: 275s    
