Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=42 binary=101100
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'layernorm', 'attention_type': 'standard', 'mlp_type': 'swiglu', 'use_value_embeddings': True, 'use_qk_norm': False, 'rope_base': 10000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 33,554,944
  scalars                 : 16
  total                   : 58,720,784
Estimated FLOPs per token: 3.271588e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011375 | lrm: 1.00 | dt: 3065ms | tok/sec: 171,074 | mfu: 5.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.191314 | lrm: 1.00 | dt: 741ms | tok/sec: 707,242 | mfu: 23.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.953222 | lrm: 1.00 | dt: 742ms | tok/sec: 706,807 | mfu: 23.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.520629 | lrm: 1.00 | dt: 742ms | tok/sec: 706,718 | mfu: 23.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.107173 | lrm: 1.00 | dt: 742ms | tok/sec: 706,513 | mfu: 23.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.729509 | lrm: 1.00 | dt: 742ms | tok/sec: 706,440 | mfu: 23.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.431054 | lrm: 1.00 | dt: 742ms | tok/sec: 706,232 | mfu: 23.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.185394 | lrm: 1.00 | dt: 743ms | tok/sec: 705,901 | mfu: 23.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.973837 | lrm: 1.00 | dt: 743ms | tok/sec: 705,859 | mfu: 23.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.789777 | lrm: 1.00 | dt: 743ms | tok/sec: 705,802 | mfu: 23.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.634481 | lrm: 1.00 | dt: 743ms | tok/sec: 705,577 | mfu: 23.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.500449 | lrm: 1.00 | dt: 743ms | tok/sec: 705,346 | mfu: 23.3% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.383049 | lrm: 1.00 | dt: 743ms | tok/sec: 705,173 | mfu: 23.3% | epoch: 1 | remaining: 299s    
step 00013 (0.5%) | loss: 6.283813 | lrm: 1.00 | dt: 744ms | tok/sec: 705,035 | mfu: 23.3% | epoch: 1 | remaining: 298s    
step 00014 (0.7%) | loss: 6.190662 | lrm: 1.00 | dt: 744ms | tok/sec: 704,820 | mfu: 23.3% | epoch: 1 | remaining: 297s    
step 00015 (1.0%) | loss: 6.111006 | lrm: 1.00 | dt: 744ms | tok/sec: 705,127 | mfu: 23.3% | epoch: 1 | remaining: 296s    
step 00016 (1.2%) | loss: 6.038737 | lrm: 1.00 | dt: 744ms | tok/sec: 704,950 | mfu: 23.3% | epoch: 1 | remaining: 296s    
step 00017 (1.5%) | loss: 5.972865 | lrm: 1.00 | dt: 744ms | tok/sec: 704,711 | mfu: 23.3% | epoch: 1 | remaining: 295s    
step 00018 (1.7%) | loss: 5.913604 | lrm: 1.00 | dt: 744ms | tok/sec: 704,473 | mfu: 23.3% | epoch: 1 | remaining: 294s    
step 00019 (2.0%) | loss: 5.861451 | lrm: 1.00 | dt: 744ms | tok/sec: 704,455 | mfu: 23.3% | epoch: 1 | remaining: 293s    
step 00020 (2.2%) | loss: 5.813039 | lrm: 1.00 | dt: 744ms | tok/sec: 704,546 | mfu: 23.3% | epoch: 1 | remaining: 293s    
step 00021 (2.5%) | loss: 5.766811 | lrm: 1.00 | dt: 744ms | tok/sec: 704,559 | mfu: 23.3% | epoch: 1 | remaining: 292s    
step 00022 (2.7%) | loss: 5.722850 | lrm: 1.00 | dt: 745ms | tok/sec: 704,107 | mfu: 23.3% | epoch: 1 | remaining: 291s    
step 00023 (3.0%) | loss: 5.682418 | lrm: 1.00 | dt: 745ms | tok/sec: 704,056 | mfu: 23.3% | epoch: 1 | remaining: 290s    
step 00024 (3.2%) | loss: 5.643008 | lrm: 1.00 | dt: 745ms | tok/sec: 703,900 | mfu: 23.3% | epoch: 1 | remaining: 290s    
step 00025 (3.5%) | loss: 5.605224 | lrm: 1.00 | dt: 746ms | tok/sec: 703,122 | mfu: 23.2% | epoch: 1 | remaining: 289s    
step 00026 (3.7%) | loss: 5.564197 | lrm: 1.00 | dt: 745ms | tok/sec: 703,801 | mfu: 23.3% | epoch: 1 | remaining: 288s    
step 00027 (4.0%) | loss: 5.528508 | lrm: 1.00 | dt: 745ms | tok/sec: 703,429 | mfu: 23.3% | epoch: 1 | remaining: 287s    
step 00028 (4.2%) | loss: 5.494767 | lrm: 1.00 | dt: 745ms | tok/sec: 703,873 | mfu: 23.3% | epoch: 1 | remaining: 287s    
step 00029 (4.5%) | loss: 5.463738 | lrm: 1.00 | dt: 745ms | tok/sec: 703,517 | mfu: 23.3% | epoch: 1 | remaining: 286s    
step 00030 (4.7%) | loss: 5.430352 | lrm: 1.00 | dt: 745ms | tok/sec: 703,537 | mfu: 23.3% | epoch: 1 | remaining: 285s    
step 00031 (5.0%) | loss: 5.394938 | lrm: 1.00 | dt: 745ms | tok/sec: 703,345 | mfu: 23.3% | epoch: 1 | remaining: 284s    
step 00032 (5.2%) | loss: 5.363365 | lrm: 1.00 | dt: 745ms | tok/sec: 703,844 | mfu: 23.3% | epoch: 1 | remaining: 284s    
step 00033 (5.5%) | loss: 5.329053 | lrm: 1.00 | dt: 746ms | tok/sec: 703,067 | mfu: 23.2% | epoch: 1 | remaining: 283s    
step 00034 (5.7%) | loss: 5.292872 | lrm: 1.00 | dt: 746ms | tok/sec: 703,204 | mfu: 23.3% | epoch: 1 | remaining: 282s    
step 00035 (6.0%) | loss: 5.260663 | lrm: 1.00 | dt: 745ms | tok/sec: 703,518 | mfu: 23.3% | epoch: 1 | remaining: 281s    
step 00036 (6.2%) | loss: 5.231793 | lrm: 1.00 | dt: 746ms | tok/sec: 703,224 | mfu: 23.3% | epoch: 1 | remaining: 281s    
