Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=45 binary=001101
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'rmsnorm', 'attention_type': 'standard', 'mlp_type': 'swiglu', 'use_value_embeddings': True, 'use_qk_norm': False, 'rope_base': 50000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 33,554,944
  scalars                 : 16
  total                   : 58,720,784
Estimated FLOPs per token: 3.271588e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011380 | lrm: 1.00 | dt: 3012ms | tok/sec: 174,085 | mfu: 5.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.853475 | lrm: 1.00 | dt: 691ms | tok/sec: 758,432 | mfu: 25.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.460811 | lrm: 1.00 | dt: 693ms | tok/sec: 756,970 | mfu: 25.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.001403 | lrm: 1.00 | dt: 691ms | tok/sec: 758,375 | mfu: 25.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.615065 | lrm: 1.00 | dt: 692ms | tok/sec: 757,374 | mfu: 25.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.275551 | lrm: 1.00 | dt: 693ms | tok/sec: 756,511 | mfu: 25.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.023111 | lrm: 1.00 | dt: 692ms | tok/sec: 757,427 | mfu: 25.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.815318 | lrm: 1.00 | dt: 693ms | tok/sec: 756,509 | mfu: 25.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.638215 | lrm: 1.00 | dt: 694ms | tok/sec: 755,883 | mfu: 25.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.486767 | lrm: 1.00 | dt: 693ms | tok/sec: 756,388 | mfu: 25.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.361701 | lrm: 1.00 | dt: 695ms | tok/sec: 754,908 | mfu: 25.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.254213 | lrm: 1.00 | dt: 695ms | tok/sec: 754,800 | mfu: 25.0% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.160496 | lrm: 1.00 | dt: 693ms | tok/sec: 756,828 | mfu: 25.0% | epoch: 1 | remaining: 299s    
step 00013 (0.5%) | loss: 6.081959 | lrm: 1.00 | dt: 694ms | tok/sec: 755,979 | mfu: 25.0% | epoch: 1 | remaining: 298s    
step 00014 (0.7%) | loss: 6.007435 | lrm: 1.00 | dt: 696ms | tok/sec: 753,453 | mfu: 24.9% | epoch: 1 | remaining: 297s    
step 00015 (0.9%) | loss: 5.944715 | lrm: 1.00 | dt: 694ms | tok/sec: 755,569 | mfu: 25.0% | epoch: 1 | remaining: 297s    
step 00016 (1.2%) | loss: 5.886840 | lrm: 1.00 | dt: 695ms | tok/sec: 754,238 | mfu: 24.9% | epoch: 1 | remaining: 296s    
step 00017 (1.4%) | loss: 5.833464 | lrm: 1.00 | dt: 696ms | tok/sec: 753,738 | mfu: 24.9% | epoch: 1 | remaining: 295s    
step 00018 (1.6%) | loss: 5.784776 | lrm: 1.00 | dt: 695ms | tok/sec: 754,000 | mfu: 24.9% | epoch: 1 | remaining: 294s    
step 00019 (1.9%) | loss: 5.742827 | lrm: 1.00 | dt: 695ms | tok/sec: 754,854 | mfu: 25.0% | epoch: 1 | remaining: 294s    
step 00020 (2.1%) | loss: 5.704371 | lrm: 1.00 | dt: 695ms | tok/sec: 754,742 | mfu: 25.0% | epoch: 1 | remaining: 293s    
step 00021 (2.3%) | loss: 5.666318 | lrm: 1.00 | dt: 696ms | tok/sec: 753,056 | mfu: 24.9% | epoch: 1 | remaining: 292s    
step 00022 (2.5%) | loss: 5.629552 | lrm: 1.00 | dt: 696ms | tok/sec: 753,471 | mfu: 24.9% | epoch: 1 | remaining: 292s    
step 00023 (2.8%) | loss: 5.596421 | lrm: 1.00 | dt: 696ms | tok/sec: 753,375 | mfu: 24.9% | epoch: 1 | remaining: 291s    
step 00024 (3.0%) | loss: 5.564837 | lrm: 1.00 | dt: 695ms | tok/sec: 754,350 | mfu: 24.9% | epoch: 1 | remaining: 290s    
step 00025 (3.2%) | loss: 5.533742 | lrm: 1.00 | dt: 696ms | tok/sec: 753,195 | mfu: 24.9% | epoch: 1 | remaining: 290s    
step 00026 (3.5%) | loss: 5.499981 | lrm: 1.00 | dt: 697ms | tok/sec: 752,209 | mfu: 24.9% | epoch: 1 | remaining: 289s    
step 00027 (3.7%) | loss: 5.471240 | lrm: 1.00 | dt: 697ms | tok/sec: 751,672 | mfu: 24.9% | epoch: 1 | remaining: 288s    
step 00028 (3.9%) | loss: 5.443106 | lrm: 1.00 | dt: 697ms | tok/sec: 752,216 | mfu: 24.9% | epoch: 1 | remaining: 287s    
step 00029 (4.2%) | loss: 5.417222 | lrm: 1.00 | dt: 696ms | tok/sec: 753,263 | mfu: 24.9% | epoch: 1 | remaining: 287s    
step 00030 (4.4%) | loss: 5.389842 | lrm: 1.00 | dt: 696ms | tok/sec: 753,823 | mfu: 24.9% | epoch: 1 | remaining: 286s    
step 00031 (4.6%) | loss: 5.360892 | lrm: 1.00 | dt: 697ms | tok/sec: 752,307 | mfu: 24.9% | epoch: 1 | remaining: 285s    
step 00032 (4.9%) | loss: 5.335420 | lrm: 1.00 | dt: 698ms | tok/sec: 751,597 | mfu: 24.9% | epoch: 1 | remaining: 285s    
step 00033 (5.1%) | loss: 5.307677 | lrm: 1.00 | dt: 698ms | tok/sec: 751,285 | mfu: 24.8% | epoch: 1 | remaining: 284s    
step 00034 (5.3%) | loss: 5.278282 | lrm: 1.00 | dt: 698ms | tok/sec: 751,130 | mfu: 24.8% | epoch: 1 | remaining: 283s    
step 00035 (5.6%) | loss: 5.251778 | lrm: 1.00 | dt: 699ms | tok/sec: 750,366 | mfu: 24.8% | epoch: 1 | remaining: 283s    
step 00036 (5.8%) | loss: 5.228656 | lrm: 1.00 | dt: 698ms | tok/sec: 750,937 | mfu: 24.8% | epoch: 1 | remaining: 282s    
