Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=46 binary=000010
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'rmsnorm', 'attention_type': 'standard', 'mlp_type': 'relu2', 'use_value_embeddings': False, 'use_qk_norm': True, 'rope_base': 10000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 0
  lm_head                 : 4,194,304
  transformer_matrices    : 25,165,824
  scalars                 : 16
  total                   : 33,554,448
Estimated FLOPs per token: 2.768241e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011380 | lrm: 1.00 | dt: 2654ms | tok/sec: 197,550 | mfu: 5.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854871 | lrm: 1.00 | dt: 577ms | tok/sec: 908,667 | mfu: 25.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.447856 | lrm: 1.00 | dt: 577ms | tok/sec: 908,502 | mfu: 25.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.981901 | lrm: 1.00 | dt: 577ms | tok/sec: 908,591 | mfu: 25.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.588655 | lrm: 1.00 | dt: 577ms | tok/sec: 908,507 | mfu: 25.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.258763 | lrm: 1.00 | dt: 577ms | tok/sec: 908,101 | mfu: 25.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.008153 | lrm: 1.00 | dt: 578ms | tok/sec: 907,794 | mfu: 25.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.797659 | lrm: 1.00 | dt: 578ms | tok/sec: 907,072 | mfu: 25.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.617582 | lrm: 1.00 | dt: 579ms | tok/sec: 905,350 | mfu: 25.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.465279 | lrm: 1.00 | dt: 578ms | tok/sec: 906,417 | mfu: 25.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.335178 | lrm: 1.00 | dt: 579ms | tok/sec: 905,713 | mfu: 25.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.226781 | lrm: 1.00 | dt: 579ms | tok/sec: 905,912 | mfu: 25.3% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.130311 | lrm: 1.00 | dt: 578ms | tok/sec: 906,360 | mfu: 25.4% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.044116 | lrm: 1.00 | dt: 579ms | tok/sec: 905,777 | mfu: 25.3% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 5.971614 | lrm: 1.00 | dt: 579ms | tok/sec: 905,888 | mfu: 25.3% | epoch: 1 | remaining: 298s    
step 00015 (0.8%) | loss: 5.906233 | lrm: 1.00 | dt: 579ms | tok/sec: 906,155 | mfu: 25.4% | epoch: 1 | remaining: 297s    
step 00016 (1.0%) | loss: 5.847729 | lrm: 1.00 | dt: 578ms | tok/sec: 906,654 | mfu: 25.4% | epoch: 1 | remaining: 297s    
step 00017 (1.2%) | loss: 5.795132 | lrm: 1.00 | dt: 578ms | tok/sec: 906,532 | mfu: 25.4% | epoch: 1 | remaining: 296s    
step 00018 (1.3%) | loss: 5.748734 | lrm: 1.00 | dt: 579ms | tok/sec: 906,259 | mfu: 25.4% | epoch: 1 | remaining: 295s    
step 00019 (1.5%) | loss: 5.706109 | lrm: 1.00 | dt: 579ms | tok/sec: 906,230 | mfu: 25.4% | epoch: 1 | remaining: 295s    
step 00020 (1.7%) | loss: 5.667195 | lrm: 1.00 | dt: 579ms | tok/sec: 905,781 | mfu: 25.3% | epoch: 1 | remaining: 294s    
step 00021 (1.9%) | loss: 5.632585 | lrm: 1.00 | dt: 579ms | tok/sec: 905,144 | mfu: 25.3% | epoch: 1 | remaining: 294s    
step 00022 (2.1%) | loss: 5.601279 | lrm: 1.00 | dt: 579ms | tok/sec: 904,797 | mfu: 25.3% | epoch: 1 | remaining: 293s    
step 00023 (2.3%) | loss: 5.572724 | lrm: 1.00 | dt: 579ms | tok/sec: 904,924 | mfu: 25.3% | epoch: 1 | remaining: 292s    
step 00024 (2.5%) | loss: 5.545908 | lrm: 1.00 | dt: 580ms | tok/sec: 904,485 | mfu: 25.3% | epoch: 1 | remaining: 292s    
step 00025 (2.7%) | loss: 5.521349 | lrm: 1.00 | dt: 580ms | tok/sec: 904,054 | mfu: 25.3% | epoch: 1 | remaining: 291s    
step 00026 (2.9%) | loss: 5.495461 | lrm: 1.00 | dt: 580ms | tok/sec: 903,691 | mfu: 25.3% | epoch: 1 | remaining: 291s    
step 00027 (3.1%) | loss: 5.474786 | lrm: 1.00 | dt: 580ms | tok/sec: 903,932 | mfu: 25.3% | epoch: 1 | remaining: 290s    
step 00028 (3.3%) | loss: 5.455940 | lrm: 1.00 | dt: 580ms | tok/sec: 904,089 | mfu: 25.3% | epoch: 1 | remaining: 290s    
step 00029 (3.5%) | loss: 5.439802 | lrm: 1.00 | dt: 580ms | tok/sec: 904,052 | mfu: 25.3% | epoch: 1 | remaining: 289s    
step 00030 (3.7%) | loss: 5.422262 | lrm: 1.00 | dt: 580ms | tok/sec: 904,067 | mfu: 25.3% | epoch: 1 | remaining: 288s    
step 00031 (3.9%) | loss: 5.403614 | lrm: 1.00 | dt: 580ms | tok/sec: 903,485 | mfu: 25.3% | epoch: 1 | remaining: 288s    
step 00032 (4.1%) | loss: 5.387348 | lrm: 1.00 | dt: 580ms | tok/sec: 903,894 | mfu: 25.3% | epoch: 1 | remaining: 287s    
step 00033 (4.2%) | loss: 5.370026 | lrm: 1.00 | dt: 580ms | tok/sec: 903,245 | mfu: 25.3% | epoch: 1 | remaining: 287s    
step 00034 (4.4%) | loss: 5.351045 | lrm: 1.00 | dt: 580ms | tok/sec: 903,867 | mfu: 25.3% | epoch: 1 | remaining: 286s    
step 00035 (4.6%) | loss: 5.335211 | lrm: 1.00 | dt: 580ms | tok/sec: 903,500 | mfu: 25.3% | epoch: 1 | remaining: 286s    
step 00036 (4.8%) | loss: 5.318381 | lrm: 1.00 | dt: 580ms | tok/sec: 903,555 | mfu: 25.3% | epoch: 1 | remaining: 285s    
step 00037 (5.0%) | loss: 5.300000 | lrm: 1.00 | dt: 580ms | tok/sec: 903,334 | mfu: 25.3% | epoch: 1 | remaining: 284s    
step 00038 (5.2%) | loss: 5.281619 | lrm: 1.00 | dt: 580ms | tok/sec: 903,457 | mfu: 25.3% | epoch: 1 | remaining: 284s    
step 00039 (5.4%) | loss: 5.259344 | lrm: 1.00 | dt: 581ms | tok/sec: 903,054 | mfu: 25.3% | epoch: 1 | remaining: 283s    
step 00040 (5.6%) | loss: 5.239570 | lrm: 1.00 | dt: 580ms | tok/sec: 904,259 | mfu: 25.3% | epoch: 1 | remaining: 283s    
step 00041 (5.8%) | loss: 5.223910 | lrm: 1.00 | dt: 580ms | tok/sec: 903,442 | mfu: 25.3% | epoch: 1 | remaining: 282s    
step 00042 (6.0%) | loss: 5.207537 | lrm: 1.00 | dt: 580ms | tok/sec: 903,852 | mfu: 25.3% | epoch: 1 | remaining: 281s    
step 00043 (6.2%) | loss: 5.186696 | lrm: 1.00 | dt: 580ms | tok/sec: 904,221 | mfu: 25.3% | epoch: 1 | remaining: 281s    
step 00044 (6.4%) | loss: 5.168789 | lrm: 1.00 | dt: 580ms | tok/sec: 903,699 | mfu: 25.3% | epoch: 1 | remaining: 280s    
step 00045 (6.6%) | loss: 5.149418 | lrm: 1.00 | dt: 580ms | tok/sec: 903,657 | mfu: 25.3% | epoch: 1 | remaining: 280s    
step 00046 (6.8%) | loss: 5.129744 | lrm: 1.00 | dt: 581ms | tok/sec: 903,108 | mfu: 25.3% | epoch: 1 | remaining: 279s    
step 00047 (7.0%) | loss: 5.107578 | lrm: 1.00 | dt: 580ms | tok/sec: 903,419 | mfu: 25.3% | epoch: 1 | remaining: 279s    
step 00048 (7.1%) | loss: 5.089833 | lrm: 1.00 | dt: 581ms | tok/sec: 902,847 | mfu: 25.3% | epoch: 1 | remaining: 278s    
step 00049 (7.3%) | loss: 5.072327 | lrm: 1.00 | dt: 580ms | tok/sec: 904,122 | mfu: 25.3% | epoch: 1 | remaining: 277s    
step 00050 (7.5%) | loss: 5.053090 | lrm: 1.00 | dt: 581ms | tok/sec: 902,730 | mfu: 25.3% | epoch: 1 | remaining: 277s    
step 00051 (7.7%) | loss: 5.036064 | lrm: 1.00 | dt: 581ms | tok/sec: 901,968 | mfu: 25.2% | epoch: 1 | remaining: 276s    
step 00052 (7.9%) | loss: 5.019349 | lrm: 1.00 | dt: 581ms | tok/sec: 901,804 | mfu: 25.2% | epoch: 1 | remaining: 276s    
step 00053 (8.1%) | loss: 5.002256 | lrm: 1.00 | dt: 582ms | tok/sec: 901,465 | mfu: 25.2% | epoch: 1 | remaining: 275s    
step 00054 (8.3%) | loss: 4.983432 | lrm: 1.00 | dt: 582ms | tok/sec: 900,714 | mfu: 25.2% | epoch: 1 | remaining: 274s    
step 00055 (8.5%) | loss: 4.966630 | lrm: 1.00 | dt: 582ms | tok/sec: 900,775 | mfu: 25.2% | epoch: 1 | remaining: 274s    
step 00056 (8.7%) | loss: 4.951541 | lrm: 1.00 | dt: 583ms | tok/sec: 899,379 | mfu: 25.2% | epoch: 1 | remaining: 273s    
step 00057 (8.9%) | loss: 4.933094 | lrm: 1.00 | dt: 582ms | tok/sec: 900,786 | mfu: 25.2% | epoch: 1 | remaining: 273s    
step 00058 (9.1%) | loss: 4.916943 | lrm: 1.00 | dt: 581ms | tok/sec: 901,931 | mfu: 25.2% | epoch: 1 | remaining: 272s    
step 00059 (9.3%) | loss: 4.896156 | lrm: 1.00 | dt: 582ms | tok/sec: 901,281 | mfu: 25.2% | epoch: 1 | remaining: 272s    
step 00060 (9.5%) | loss: 4.880080 | lrm: 1.00 | dt: 581ms | tok/sec: 902,339 | mfu: 25.2% | epoch: 1 | remaining: 271s    
step 00061 (9.7%) | loss: 4.861351 | lrm: 1.00 | dt: 582ms | tok/sec: 900,848 | mfu: 25.2% | epoch: 1 | remaining: 270s    
