Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=5 binary=100110
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'layernorm', 'attention_type': 'standard', 'mlp_type': 'relu2', 'use_value_embeddings': True, 'use_qk_norm': True, 'rope_base': 10000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.768271e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011375 | lrm: 1.00 | dt: 15109ms | tok/sec: 34,699 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.185914 | lrm: 1.00 | dt: 645ms | tok/sec: 812,373 | mfu: 22.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.145063 | lrm: 1.00 | dt: 645ms | tok/sec: 812,335 | mfu: 22.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.811372 | lrm: 1.00 | dt: 646ms | tok/sec: 811,954 | mfu: 22.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.500807 | lrm: 1.00 | dt: 646ms | tok/sec: 812,111 | mfu: 22.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.190397 | lrm: 1.00 | dt: 646ms | tok/sec: 811,586 | mfu: 22.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.915293 | lrm: 1.00 | dt: 646ms | tok/sec: 811,940 | mfu: 22.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.681608 | lrm: 1.00 | dt: 646ms | tok/sec: 811,615 | mfu: 22.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.461337 | lrm: 1.00 | dt: 646ms | tok/sec: 811,755 | mfu: 22.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.248730 | lrm: 1.00 | dt: 646ms | tok/sec: 811,125 | mfu: 22.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.061268 | lrm: 1.00 | dt: 646ms | tok/sec: 811,266 | mfu: 22.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.895751 | lrm: 1.00 | dt: 646ms | tok/sec: 811,199 | mfu: 22.7% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.744918 | lrm: 1.00 | dt: 646ms | tok/sec: 811,107 | mfu: 22.7% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.731101 | lrm: 1.00 | dt: 647ms | tok/sec: 810,865 | mfu: 22.7% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 6.593994 | lrm: 1.00 | dt: 647ms | tok/sec: 810,793 | mfu: 22.7% | epoch: 1 | remaining: 297s    
step 00015 (0.9%) | loss: 6.474205 | lrm: 1.00 | dt: 647ms | tok/sec: 810,416 | mfu: 22.7% | epoch: 1 | remaining: 297s    
step 00016 (1.1%) | loss: 6.366481 | lrm: 1.00 | dt: 647ms | tok/sec: 810,854 | mfu: 22.7% | epoch: 1 | remaining: 296s    
step 00017 (1.3%) | loss: 6.270156 | lrm: 1.00 | dt: 647ms | tok/sec: 810,592 | mfu: 22.7% | epoch: 1 | remaining: 295s    
step 00018 (1.5%) | loss: 6.187700 | lrm: 1.00 | dt: 647ms | tok/sec: 810,481 | mfu: 22.7% | epoch: 1 | remaining: 295s    
step 00019 (1.7%) | loss: 6.110327 | lrm: 1.00 | dt: 647ms | tok/sec: 810,148 | mfu: 22.7% | epoch: 1 | remaining: 294s    
step 00020 (1.9%) | loss: 6.036258 | lrm: 1.00 | dt: 647ms | tok/sec: 810,346 | mfu: 22.7% | epoch: 1 | remaining: 294s    
step 00021 (2.2%) | loss: 5.971015 | lrm: 1.00 | dt: 647ms | tok/sec: 810,271 | mfu: 22.7% | epoch: 1 | remaining: 293s    
step 00022 (2.4%) | loss: 5.913193 | lrm: 1.00 | dt: 647ms | tok/sec: 810,339 | mfu: 22.7% | epoch: 1 | remaining: 292s    
step 00023 (2.6%) | loss: 5.859131 | lrm: 1.00 | dt: 647ms | tok/sec: 810,223 | mfu: 22.7% | epoch: 1 | remaining: 292s    
step 00024 (2.8%) | loss: 5.807789 | lrm: 1.00 | dt: 647ms | tok/sec: 809,974 | mfu: 22.7% | epoch: 1 | remaining: 291s    
step 00025 (3.0%) | loss: 5.760505 | lrm: 1.00 | dt: 647ms | tok/sec: 809,946 | mfu: 22.7% | epoch: 1 | remaining: 290s    
step 00026 (3.2%) | loss: 5.714379 | lrm: 1.00 | dt: 648ms | tok/sec: 809,671 | mfu: 22.7% | epoch: 1 | remaining: 290s    
step 00027 (3.5%) | loss: 5.674928 | lrm: 1.00 | dt: 647ms | tok/sec: 809,973 | mfu: 22.7% | epoch: 1 | remaining: 289s    
step 00028 (3.7%) | loss: 5.637372 | lrm: 1.00 | dt: 647ms | tok/sec: 809,795 | mfu: 22.7% | epoch: 1 | remaining: 288s    
step 00029 (3.9%) | loss: 5.603557 | lrm: 1.00 | dt: 648ms | tok/sec: 809,453 | mfu: 22.6% | epoch: 1 | remaining: 288s    
step 00030 (4.1%) | loss: 5.569692 | lrm: 1.00 | dt: 648ms | tok/sec: 809,689 | mfu: 22.7% | epoch: 1 | remaining: 287s    
step 00031 (4.3%) | loss: 5.533720 | lrm: 1.00 | dt: 648ms | tok/sec: 809,163 | mfu: 22.6% | epoch: 1 | remaining: 286s    
step 00032 (4.5%) | loss: 5.502034 | lrm: 1.00 | dt: 647ms | tok/sec: 809,725 | mfu: 22.7% | epoch: 1 | remaining: 286s    
step 00033 (4.7%) | loss: 5.468589 | lrm: 1.00 | dt: 648ms | tok/sec: 809,359 | mfu: 22.6% | epoch: 1 | remaining: 285s    
step 00034 (5.0%) | loss: 5.433063 | lrm: 1.00 | dt: 648ms | tok/sec: 809,220 | mfu: 22.6% | epoch: 1 | remaining: 284s    
step 00035 (5.2%) | loss: 5.401807 | lrm: 1.00 | dt: 648ms | tok/sec: 809,327 | mfu: 22.6% | epoch: 1 | remaining: 284s    
step 00036 (5.4%) | loss: 5.373380 | lrm: 1.00 | dt: 648ms | tok/sec: 809,582 | mfu: 22.6% | epoch: 1 | remaining: 283s    
step 00037 (5.6%) | loss: 5.342304 | lrm: 1.00 | dt: 648ms | tok/sec: 809,532 | mfu: 22.6% | epoch: 1 | remaining: 283s    
step 00038 (5.8%) | loss: 5.312543 | lrm: 1.00 | dt: 648ms | tok/sec: 809,231 | mfu: 22.6% | epoch: 1 | remaining: 282s    
step 00039 (6.0%) | loss: 5.279648 | lrm: 1.00 | dt: 648ms | tok/sec: 809,369 | mfu: 22.6% | epoch: 1 | remaining: 281s    
step 00040 (6.3%) | loss: 5.249164 | lrm: 1.00 | dt: 648ms | tok/sec: 809,019 | mfu: 22.6% | epoch: 1 | remaining: 281s    
step 00041 (6.5%) | loss: 5.222771 | lrm: 1.00 | dt: 648ms | tok/sec: 809,174 | mfu: 22.6% | epoch: 1 | remaining: 280s    
step 00042 (6.7%) | loss: 5.197024 | lrm: 1.00 | dt: 648ms | tok/sec: 809,107 | mfu: 22.6% | epoch: 1 | remaining: 279s    
step 00043 (6.9%) | loss: 5.165788 | lrm: 1.00 | dt: 648ms | tok/sec: 808,906 | mfu: 22.6% | epoch: 1 | remaining: 279s    
step 00044 (7.1%) | loss: 5.137072 | lrm: 1.00 | dt: 648ms | tok/sec: 809,201 | mfu: 22.6% | epoch: 1 | remaining: 278s    
step 00045 (7.3%) | loss: 5.108895 | lrm: 1.00 | dt: 648ms | tok/sec: 808,994 | mfu: 22.6% | epoch: 1 | remaining: 277s    
step 00046 (7.6%) | loss: 5.082346 | lrm: 1.00 | dt: 648ms | tok/sec: 809,013 | mfu: 22.6% | epoch: 1 | remaining: 277s    
step 00047 (7.8%) | loss: 5.053221 | lrm: 1.00 | dt: 648ms | tok/sec: 808,929 | mfu: 22.6% | epoch: 1 | remaining: 276s    
step 00048 (8.0%) | loss: 5.030071 | lrm: 1.00 | dt: 648ms | tok/sec: 808,587 | mfu: 22.6% | epoch: 1 | remaining: 275s    
step 00049 (8.2%) | loss: 5.004493 | lrm: 1.00 | dt: 648ms | tok/sec: 808,525 | mfu: 22.6% | epoch: 1 | remaining: 275s    
step 00050 (8.4%) | loss: 4.976706 | lrm: 1.00 | dt: 648ms | tok/sec: 808,603 | mfu: 22.6% | epoch: 1 | remaining: 274s    
step 00051 (8.6%) | loss: 4.954972 | lrm: 1.00 | dt: 648ms | tok/sec: 808,640 | mfu: 22.6% | epoch: 1 | remaining: 273s    
step 00052 (8.8%) | loss: 4.929927 | lrm: 1.00 | dt: 648ms | tok/sec: 808,616 | mfu: 22.6% | epoch: 1 | remaining: 273s    
step 00053 (9.1%) | loss: 4.905676 | lrm: 1.00 | dt: 648ms | tok/sec: 808,580 | mfu: 22.6% | epoch: 1 | remaining: 272s    
step 00054 (9.3%) | loss: 4.882004 | lrm: 1.00 | dt: 649ms | tok/sec: 808,460 | mfu: 22.6% | epoch: 1 | remaining: 272s    
step 00055 (9.5%) | loss: 4.857292 | lrm: 1.00 | dt: 648ms | tok/sec: 808,595 | mfu: 22.6% | epoch: 1 | remaining: 271s    
step 00056 (9.7%) | loss: 4.836116 | lrm: 1.00 | dt: 648ms | tok/sec: 808,612 | mfu: 22.6% | epoch: 1 | remaining: 270s    
step 00057 (9.9%) | loss: 4.812024 | lrm: 1.00 | dt: 648ms | tok/sec: 808,596 | mfu: 22.6% | epoch: 1 | remaining: 270s    
step 00058 (10.1%) | loss: 4.789101 | lrm: 1.00 | dt: 649ms | tok/sec: 808,452 | mfu: 22.6% | epoch: 1 | remaining: 269s    
step 00059 (10.4%) | loss: 4.761258 | lrm: 1.00 | dt: 649ms | tok/sec: 808,441 | mfu: 22.6% | epoch: 1 | remaining: 268s    
