Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=51 binary=011000
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'rmsnorm', 'attention_type': 'sliding_window', 'mlp_type': 'swiglu', 'use_value_embeddings': False, 'use_qk_norm': False, 'rope_base': 10000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 0
  lm_head                 : 4,194,304
  transformer_matrices    : 33,554,432
  scalars                 : 16
  total                   : 41,943,056
Estimated FLOPs per token: 2.894070e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011380 | lrm: 1.00 | dt: 12446ms | tok/sec: 42,126 | mfu: 1.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.853436 | lrm: 1.00 | dt: 681ms | tok/sec: 769,620 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.462364 | lrm: 1.00 | dt: 682ms | tok/sec: 769,253 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.004290 | lrm: 1.00 | dt: 681ms | tok/sec: 769,362 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.609429 | lrm: 1.00 | dt: 682ms | tok/sec: 768,929 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.269904 | lrm: 1.00 | dt: 683ms | tok/sec: 767,850 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.017229 | lrm: 1.00 | dt: 683ms | tok/sec: 767,995 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.810246 | lrm: 1.00 | dt: 683ms | tok/sec: 767,176 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.633890 | lrm: 1.00 | dt: 683ms | tok/sec: 767,757 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.484296 | lrm: 1.00 | dt: 683ms | tok/sec: 767,591 | mfu: 22.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.359567 | lrm: 1.00 | dt: 683ms | tok/sec: 767,157 | mfu: 22.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.251458 | lrm: 1.00 | dt: 683ms | tok/sec: 767,634 | mfu: 22.5% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.156330 | lrm: 1.00 | dt: 685ms | tok/sec: 765,763 | mfu: 22.4% | epoch: 1 | remaining: 299s    
step 00013 (0.5%) | loss: 6.076907 | lrm: 1.00 | dt: 684ms | tok/sec: 766,333 | mfu: 22.4% | epoch: 1 | remaining: 298s    
step 00014 (0.7%) | loss: 6.001316 | lrm: 1.00 | dt: 683ms | tok/sec: 767,220 | mfu: 22.4% | epoch: 1 | remaining: 297s    
step 00015 (0.9%) | loss: 5.937970 | lrm: 1.00 | dt: 684ms | tok/sec: 766,819 | mfu: 22.4% | epoch: 1 | remaining: 297s    
step 00016 (1.1%) | loss: 5.880200 | lrm: 1.00 | dt: 683ms | tok/sec: 767,132 | mfu: 22.4% | epoch: 1 | remaining: 296s    
step 00017 (1.4%) | loss: 5.827980 | lrm: 1.00 | dt: 685ms | tok/sec: 765,370 | mfu: 22.4% | epoch: 1 | remaining: 295s    
step 00018 (1.6%) | loss: 5.781956 | lrm: 1.00 | dt: 685ms | tok/sec: 765,696 | mfu: 22.4% | epoch: 1 | remaining: 295s    
step 00019 (1.8%) | loss: 5.742686 | lrm: 1.00 | dt: 684ms | tok/sec: 766,233 | mfu: 22.4% | epoch: 1 | remaining: 294s    
step 00020 (2.1%) | loss: 5.706573 | lrm: 1.00 | dt: 684ms | tok/sec: 766,206 | mfu: 22.4% | epoch: 1 | remaining: 293s    
step 00021 (2.3%) | loss: 5.671814 | lrm: 1.00 | dt: 684ms | tok/sec: 765,990 | mfu: 22.4% | epoch: 1 | remaining: 292s    
step 00022 (2.5%) | loss: 5.638665 | lrm: 1.00 | dt: 686ms | tok/sec: 764,096 | mfu: 22.3% | epoch: 1 | remaining: 292s    
step 00023 (2.7%) | loss: 5.609159 | lrm: 1.00 | dt: 686ms | tok/sec: 764,305 | mfu: 22.4% | epoch: 1 | remaining: 291s    
step 00024 (3.0%) | loss: 5.581456 | lrm: 1.00 | dt: 684ms | tok/sec: 766,010 | mfu: 22.4% | epoch: 1 | remaining: 290s    
step 00025 (3.2%) | loss: 5.555645 | lrm: 1.00 | dt: 688ms | tok/sec: 762,482 | mfu: 22.3% | epoch: 1 | remaining: 290s    
step 00026 (3.4%) | loss: 5.527391 | lrm: 1.00 | dt: 687ms | tok/sec: 763,218 | mfu: 22.3% | epoch: 1 | remaining: 289s    
step 00027 (3.7%) | loss: 5.504206 | lrm: 1.00 | dt: 685ms | tok/sec: 765,325 | mfu: 22.4% | epoch: 1 | remaining: 288s    
step 00028 (3.9%) | loss: 5.481827 | lrm: 1.00 | dt: 687ms | tok/sec: 763,197 | mfu: 22.3% | epoch: 1 | remaining: 288s    
step 00029 (4.1%) | loss: 5.460700 | lrm: 1.00 | dt: 686ms | tok/sec: 764,138 | mfu: 22.3% | epoch: 1 | remaining: 287s    
step 00030 (4.3%) | loss: 5.437799 | lrm: 1.00 | dt: 685ms | tok/sec: 764,973 | mfu: 22.4% | epoch: 1 | remaining: 286s    
step 00031 (4.6%) | loss: 5.415165 | lrm: 1.00 | dt: 687ms | tok/sec: 763,553 | mfu: 22.3% | epoch: 1 | remaining: 286s    
step 00032 (4.8%) | loss: 5.398153 | lrm: 1.00 | dt: 686ms | tok/sec: 763,877 | mfu: 22.3% | epoch: 1 | remaining: 285s    
step 00033 (5.0%) | loss: 5.376541 | lrm: 1.00 | dt: 686ms | tok/sec: 764,446 | mfu: 22.4% | epoch: 1 | remaining: 284s    
step 00034 (5.3%) | loss: 5.352748 | lrm: 1.00 | dt: 686ms | tok/sec: 764,802 | mfu: 22.4% | epoch: 1 | remaining: 284s    
step 00035 (5.5%) | loss: 5.332805 | lrm: 1.00 | dt: 687ms | tok/sec: 762,932 | mfu: 22.3% | epoch: 1 | remaining: 283s    
step 00036 (5.7%) | loss: 5.314261 | lrm: 1.00 | dt: 687ms | tok/sec: 762,692 | mfu: 22.3% | epoch: 1 | remaining: 282s    
