Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=55 binary=010011
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'rmsnorm', 'attention_type': 'sliding_window', 'mlp_type': 'relu2', 'use_value_embeddings': False, 'use_qk_norm': True, 'rope_base': 50000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 0
  lm_head                 : 4,194,304
  transformer_matrices    : 25,165,824
  scalars                 : 16
  total                   : 33,554,448
Estimated FLOPs per token: 2.390753e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011380 | lrm: 1.00 | dt: 2655ms | tok/sec: 197,439 | mfu: 4.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854860 | lrm: 1.00 | dt: 577ms | tok/sec: 909,158 | mfu: 22.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.447546 | lrm: 1.00 | dt: 578ms | tok/sec: 906,954 | mfu: 21.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.981587 | lrm: 1.00 | dt: 577ms | tok/sec: 908,128 | mfu: 21.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.588336 | lrm: 1.00 | dt: 577ms | tok/sec: 908,456 | mfu: 21.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.258482 | lrm: 1.00 | dt: 577ms | tok/sec: 908,029 | mfu: 21.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.007880 | lrm: 1.00 | dt: 577ms | tok/sec: 908,276 | mfu: 21.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.797321 | lrm: 1.00 | dt: 578ms | tok/sec: 907,575 | mfu: 21.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.617253 | lrm: 1.00 | dt: 577ms | tok/sec: 907,906 | mfu: 21.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.464963 | lrm: 1.00 | dt: 578ms | tok/sec: 906,995 | mfu: 21.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.338238 | lrm: 1.00 | dt: 578ms | tok/sec: 906,340 | mfu: 21.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.229382 | lrm: 1.00 | dt: 579ms | tok/sec: 905,007 | mfu: 21.9% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.133929 | lrm: 1.00 | dt: 579ms | tok/sec: 905,255 | mfu: 21.9% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.048704 | lrm: 1.00 | dt: 579ms | tok/sec: 905,695 | mfu: 21.9% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 5.976708 | lrm: 1.00 | dt: 579ms | tok/sec: 905,329 | mfu: 21.9% | epoch: 1 | remaining: 298s    
step 00015 (0.8%) | loss: 5.911251 | lrm: 1.00 | dt: 579ms | tok/sec: 905,301 | mfu: 21.9% | epoch: 1 | remaining: 297s    
step 00016 (1.0%) | loss: 5.855789 | lrm: 1.00 | dt: 579ms | tok/sec: 905,854 | mfu: 21.9% | epoch: 1 | remaining: 297s    
step 00017 (1.2%) | loss: 5.802781 | lrm: 1.00 | dt: 579ms | tok/sec: 905,410 | mfu: 21.9% | epoch: 1 | remaining: 296s    
step 00018 (1.4%) | loss: 5.755628 | lrm: 1.00 | dt: 579ms | tok/sec: 905,744 | mfu: 21.9% | epoch: 1 | remaining: 295s    
step 00019 (1.5%) | loss: 5.711490 | lrm: 1.00 | dt: 579ms | tok/sec: 905,548 | mfu: 21.9% | epoch: 1 | remaining: 295s    
step 00020 (1.7%) | loss: 5.671077 | lrm: 1.00 | dt: 579ms | tok/sec: 905,530 | mfu: 21.9% | epoch: 1 | remaining: 294s    
step 00021 (1.9%) | loss: 5.634063 | lrm: 1.00 | dt: 579ms | tok/sec: 906,088 | mfu: 21.9% | epoch: 1 | remaining: 294s    
step 00022 (2.1%) | loss: 5.602175 | lrm: 1.00 | dt: 579ms | tok/sec: 905,280 | mfu: 21.9% | epoch: 1 | remaining: 293s    
step 00023 (2.3%) | loss: 5.572470 | lrm: 1.00 | dt: 579ms | tok/sec: 905,537 | mfu: 21.9% | epoch: 1 | remaining: 292s    
step 00024 (2.5%) | loss: 5.541459 | lrm: 1.00 | dt: 579ms | tok/sec: 905,429 | mfu: 21.9% | epoch: 1 | remaining: 292s    
step 00025 (2.7%) | loss: 5.516453 | lrm: 1.00 | dt: 579ms | tok/sec: 905,557 | mfu: 21.9% | epoch: 1 | remaining: 291s    
step 00026 (2.9%) | loss: 5.490250 | lrm: 1.00 | dt: 579ms | tok/sec: 905,761 | mfu: 21.9% | epoch: 1 | remaining: 291s    
step 00027 (3.1%) | loss: 5.469251 | lrm: 1.00 | dt: 579ms | tok/sec: 905,358 | mfu: 21.9% | epoch: 1 | remaining: 290s    
step 00028 (3.3%) | loss: 5.450143 | lrm: 1.00 | dt: 580ms | tok/sec: 904,423 | mfu: 21.9% | epoch: 1 | remaining: 290s    
step 00029 (3.5%) | loss: 5.431180 | lrm: 1.00 | dt: 580ms | tok/sec: 903,780 | mfu: 21.8% | epoch: 1 | remaining: 289s    
step 00030 (3.7%) | loss: 5.411338 | lrm: 1.00 | dt: 580ms | tok/sec: 904,307 | mfu: 21.8% | epoch: 1 | remaining: 288s    
step 00031 (3.9%) | loss: 5.391411 | lrm: 1.00 | dt: 580ms | tok/sec: 903,684 | mfu: 21.8% | epoch: 1 | remaining: 288s    
step 00032 (4.1%) | loss: 5.373473 | lrm: 1.00 | dt: 580ms | tok/sec: 903,884 | mfu: 21.8% | epoch: 1 | remaining: 287s    
step 00033 (4.2%) | loss: 5.354694 | lrm: 1.00 | dt: 580ms | tok/sec: 904,336 | mfu: 21.8% | epoch: 1 | remaining: 287s    
step 00034 (4.4%) | loss: 5.335266 | lrm: 1.00 | dt: 580ms | tok/sec: 903,595 | mfu: 21.8% | epoch: 1 | remaining: 286s    
step 00035 (4.6%) | loss: 5.321389 | lrm: 1.00 | dt: 580ms | tok/sec: 904,294 | mfu: 21.8% | epoch: 1 | remaining: 286s    
step 00036 (4.8%) | loss: 5.308179 | lrm: 1.00 | dt: 580ms | tok/sec: 904,038 | mfu: 21.8% | epoch: 1 | remaining: 285s    
