Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=65 binary=100000
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'layernorm', 'attention_type': 'standard', 'mlp_type': 'relu2', 'use_value_embeddings': False, 'use_qk_norm': False, 'rope_base': 10000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 0
  lm_head                 : 4,194,304
  transformer_matrices    : 25,165,824
  scalars                 : 16
  total                   : 33,554,448
Estimated FLOPs per token: 2.768241e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011375 | lrm: 1.00 | dt: 12501ms | tok/sec: 41,941 | mfu: 1.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.185893 | lrm: 1.00 | dt: 614ms | tok/sec: 853,990 | mfu: 23.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.158641 | lrm: 1.00 | dt: 615ms | tok/sec: 853,111 | mfu: 23.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.843992 | lrm: 1.00 | dt: 614ms | tok/sec: 854,561 | mfu: 23.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.533745 | lrm: 1.00 | dt: 614ms | tok/sec: 854,429 | mfu: 23.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.202698 | lrm: 1.00 | dt: 614ms | tok/sec: 853,985 | mfu: 23.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.913311 | lrm: 1.00 | dt: 614ms | tok/sec: 853,855 | mfu: 23.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.662698 | lrm: 1.00 | dt: 614ms | tok/sec: 853,434 | mfu: 23.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.436509 | lrm: 1.00 | dt: 614ms | tok/sec: 853,459 | mfu: 23.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.222749 | lrm: 1.00 | dt: 614ms | tok/sec: 853,678 | mfu: 23.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.034580 | lrm: 1.00 | dt: 614ms | tok/sec: 853,548 | mfu: 23.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.867324 | lrm: 1.00 | dt: 614ms | tok/sec: 853,363 | mfu: 23.9% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.718596 | lrm: 1.00 | dt: 614ms | tok/sec: 853,429 | mfu: 23.9% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.584250 | lrm: 1.00 | dt: 614ms | tok/sec: 853,292 | mfu: 23.9% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 6.464872 | lrm: 1.00 | dt: 615ms | tok/sec: 852,816 | mfu: 23.9% | epoch: 1 | remaining: 298s    
step 00015 (0.8%) | loss: 6.360836 | lrm: 1.00 | dt: 615ms | tok/sec: 852,651 | mfu: 23.9% | epoch: 1 | remaining: 297s    
step 00016 (1.0%) | loss: 6.266450 | lrm: 1.00 | dt: 615ms | tok/sec: 852,583 | mfu: 23.9% | epoch: 1 | remaining: 296s    
step 00017 (1.2%) | loss: 6.181049 | lrm: 1.00 | dt: 616ms | tok/sec: 851,595 | mfu: 23.8% | epoch: 1 | remaining: 296s    
step 00018 (1.4%) | loss: 6.106289 | lrm: 1.00 | dt: 615ms | tok/sec: 852,048 | mfu: 23.8% | epoch: 1 | remaining: 295s    
step 00019 (1.6%) | loss: 6.035438 | lrm: 1.00 | dt: 616ms | tok/sec: 851,672 | mfu: 23.8% | epoch: 1 | remaining: 294s    
step 00020 (1.8%) | loss: 5.971116 | lrm: 1.00 | dt: 616ms | tok/sec: 851,671 | mfu: 23.8% | epoch: 1 | remaining: 294s    
step 00021 (2.0%) | loss: 5.912877 | lrm: 1.00 | dt: 615ms | tok/sec: 852,300 | mfu: 23.8% | epoch: 1 | remaining: 293s    
step 00022 (2.3%) | loss: 5.859929 | lrm: 1.00 | dt: 615ms | tok/sec: 852,126 | mfu: 23.8% | epoch: 1 | remaining: 293s    
step 00023 (2.5%) | loss: 5.811186 | lrm: 1.00 | dt: 615ms | tok/sec: 852,180 | mfu: 23.8% | epoch: 1 | remaining: 292s    
step 00024 (2.7%) | loss: 5.762892 | lrm: 1.00 | dt: 615ms | tok/sec: 852,368 | mfu: 23.8% | epoch: 1 | remaining: 291s    
step 00025 (2.9%) | loss: 5.722932 | lrm: 1.00 | dt: 615ms | tok/sec: 851,966 | mfu: 23.8% | epoch: 1 | remaining: 291s    
step 00026 (3.1%) | loss: 5.682988 | lrm: 1.00 | dt: 616ms | tok/sec: 851,806 | mfu: 23.8% | epoch: 1 | remaining: 290s    
step 00027 (3.3%) | loss: 5.649403 | lrm: 1.00 | dt: 616ms | tok/sec: 851,582 | mfu: 23.8% | epoch: 1 | remaining: 290s    
step 00028 (3.5%) | loss: 5.617197 | lrm: 1.00 | dt: 616ms | tok/sec: 851,545 | mfu: 23.8% | epoch: 1 | remaining: 289s    
step 00029 (3.7%) | loss: 5.589213 | lrm: 1.00 | dt: 616ms | tok/sec: 851,608 | mfu: 23.8% | epoch: 1 | remaining: 288s    
step 00030 (3.9%) | loss: 5.561746 | lrm: 1.00 | dt: 616ms | tok/sec: 851,146 | mfu: 23.8% | epoch: 1 | remaining: 288s    
step 00031 (4.1%) | loss: 5.533533 | lrm: 1.00 | dt: 616ms | tok/sec: 851,145 | mfu: 23.8% | epoch: 1 | remaining: 287s    
step 00032 (4.3%) | loss: 5.509400 | lrm: 1.00 | dt: 615ms | tok/sec: 851,817 | mfu: 23.8% | epoch: 1 | remaining: 286s    
step 00033 (4.5%) | loss: 5.484692 | lrm: 1.00 | dt: 615ms | tok/sec: 851,874 | mfu: 23.8% | epoch: 1 | remaining: 286s    
step 00034 (4.7%) | loss: 5.463233 | lrm: 1.00 | dt: 616ms | tok/sec: 851,608 | mfu: 23.8% | epoch: 1 | remaining: 285s    
step 00035 (4.9%) | loss: 5.442608 | lrm: 1.00 | dt: 616ms | tok/sec: 851,453 | mfu: 23.8% | epoch: 1 | remaining: 285s    
step 00036 (5.1%) | loss: 5.424330 | lrm: 1.00 | dt: 616ms | tok/sec: 851,522 | mfu: 23.8% | epoch: 1 | remaining: 284s    
step 00037 (5.3%) | loss: 5.405399 | lrm: 1.00 | dt: 616ms | tok/sec: 851,757 | mfu: 23.8% | epoch: 1 | remaining: 283s    
step 00038 (5.5%) | loss: 5.387144 | lrm: 1.00 | dt: 616ms | tok/sec: 851,291 | mfu: 23.8% | epoch: 1 | remaining: 283s    
step 00039 (5.7%) | loss: 5.367254 | lrm: 1.00 | dt: 616ms | tok/sec: 851,041 | mfu: 23.8% | epoch: 1 | remaining: 282s    
step 00040 (5.9%) | loss: 5.348789 | lrm: 1.00 | dt: 616ms | tok/sec: 851,124 | mfu: 23.8% | epoch: 1 | remaining: 282s    
step 00041 (6.2%) | loss: 5.332364 | lrm: 1.00 | dt: 616ms | tok/sec: 851,293 | mfu: 23.8% | epoch: 1 | remaining: 281s    
step 00042 (6.4%) | loss: 5.314428 | lrm: 1.00 | dt: 616ms | tok/sec: 851,180 | mfu: 23.8% | epoch: 1 | remaining: 280s    
step 00043 (6.6%) | loss: 5.293745 | lrm: 1.00 | dt: 616ms | tok/sec: 851,384 | mfu: 23.8% | epoch: 1 | remaining: 280s    
step 00044 (6.8%) | loss: 5.276404 | lrm: 1.00 | dt: 616ms | tok/sec: 851,055 | mfu: 23.8% | epoch: 1 | remaining: 279s    
step 00045 (7.0%) | loss: 5.257137 | lrm: 1.00 | dt: 616ms | tok/sec: 850,775 | mfu: 23.8% | epoch: 1 | remaining: 278s    
step 00046 (7.2%) | loss: 5.238615 | lrm: 1.00 | dt: 616ms | tok/sec: 850,863 | mfu: 23.8% | epoch: 1 | remaining: 278s    
step 00047 (7.4%) | loss: 5.217155 | lrm: 1.00 | dt: 616ms | tok/sec: 850,881 | mfu: 23.8% | epoch: 1 | remaining: 277s    
step 00048 (7.6%) | loss: 5.202072 | lrm: 1.00 | dt: 616ms | tok/sec: 851,052 | mfu: 23.8% | epoch: 1 | remaining: 277s    
step 00049 (7.8%) | loss: 5.183858 | lrm: 1.00 | dt: 616ms | tok/sec: 850,643 | mfu: 23.8% | epoch: 1 | remaining: 276s    
step 00050 (8.0%) | loss: 5.163039 | lrm: 1.00 | dt: 616ms | tok/sec: 850,644 | mfu: 23.8% | epoch: 1 | remaining: 275s    
step 00051 (8.2%) | loss: 5.150242 | lrm: 1.00 | dt: 617ms | tok/sec: 850,177 | mfu: 23.8% | epoch: 1 | remaining: 275s    
step 00052 (8.4%) | loss: 5.135147 | lrm: 1.00 | dt: 616ms | tok/sec: 850,512 | mfu: 23.8% | epoch: 1 | remaining: 274s    
step 00053 (8.6%) | loss: 5.118345 | lrm: 1.00 | dt: 616ms | tok/sec: 850,593 | mfu: 23.8% | epoch: 1 | remaining: 274s    
step 00054 (8.8%) | loss: 5.101744 | lrm: 1.00 | dt: 617ms | tok/sec: 850,375 | mfu: 23.8% | epoch: 1 | remaining: 273s    
step 00055 (9.0%) | loss: 5.083203 | lrm: 1.00 | dt: 617ms | tok/sec: 849,997 | mfu: 23.8% | epoch: 1 | remaining: 272s    
step 00056 (9.2%) | loss: 5.068396 | lrm: 1.00 | dt: 617ms | tok/sec: 849,626 | mfu: 23.8% | epoch: 1 | remaining: 272s    
step 00057 (9.4%) | loss: 5.052093 | lrm: 1.00 | dt: 617ms | tok/sec: 849,621 | mfu: 23.8% | epoch: 1 | remaining: 271s    
step 00058 (9.6%) | loss: 5.036018 | lrm: 1.00 | dt: 617ms | tok/sec: 850,265 | mfu: 23.8% | epoch: 1 | remaining: 270s    
step 00059 (9.9%) | loss: 5.015061 | lrm: 1.00 | dt: 616ms | tok/sec: 850,461 | mfu: 23.8% | epoch: 1 | remaining: 270s    
step 00060 (10.1%) | loss: 5.001905 | lrm: 1.00 | dt: 616ms | tok/sec: 850,754 | mfu: 23.8% | epoch: 1 | remaining: 269s    
step 00061 (10.3%) | loss: 4.988920 | lrm: 1.00 | dt: 617ms | tok/sec: 849,908 | mfu: 23.8% | epoch: 1 | remaining: 269s    
step 00062 (10.5%) | loss: 4.971913 | lrm: 1.00 | dt: 617ms | tok/sec: 850,220 | mfu: 23.8% | epoch: 1 | remaining: 268s    
step 00063 (10.7%) | loss: 4.954837 | lrm: 1.00 | dt: 617ms | tok/sec: 849,553 | mfu: 23.8% | epoch: 1 | remaining: 267s    
step 00064 (10.9%) | loss: 4.938363 | lrm: 1.00 | dt: 617ms | tok/sec: 849,534 | mfu: 23.8% | epoch: 1 | remaining: 267s    
step 00065 (11.1%) | loss: 4.924890 | lrm: 1.00 | dt: 617ms | tok/sec: 849,369 | mfu: 23.8% | epoch: 1 | remaining: 266s    
step 00066 (11.3%) | loss: 4.909058 | lrm: 1.00 | dt: 618ms | tok/sec: 848,987 | mfu: 23.8% | epoch: 1 | remaining: 266s    
step 00067 (11.5%) | loss: 4.897921 | lrm: 1.00 | dt: 617ms | tok/sec: 849,096 | mfu: 23.8% | epoch: 1 | remaining: 265s    
step 00068 (11.7%) | loss: 4.884299 | lrm: 1.00 | dt: 617ms | tok/sec: 849,653 | mfu: 23.8% | epoch: 1 | remaining: 264s    
step 00069 (11.9%) | loss: 4.866675 | lrm: 1.00 | dt: 617ms | tok/sec: 849,659 | mfu: 23.8% | epoch: 1 | remaining: 264s    
step 00070 (12.1%) | loss: 4.850147 | lrm: 1.00 | dt: 617ms | tok/sec: 849,737 | mfu: 23.8% | epoch: 1 | remaining: 263s    
step 00071 (12.3%) | loss: 4.829839 | lrm: 1.00 | dt: 617ms | tok/sec: 849,601 | mfu: 23.8% | epoch: 1 | remaining: 262s    
step 00072 (12.5%) | loss: 4.821338 | lrm: 1.00 | dt: 617ms | tok/sec: 849,782 | mfu: 23.8% | epoch: 1 | remaining: 262s    
step 00073 (12.7%) | loss: 4.806946 | lrm: 1.00 | dt: 617ms | tok/sec: 849,467 | mfu: 23.8% | epoch: 1 | remaining: 261s    
step 00074 (12.9%) | loss: 4.789308 | lrm: 1.00 | dt: 617ms | tok/sec: 849,378 | mfu: 23.8% | epoch: 1 | remaining: 261s    
step 00075 (13.1%) | loss: 4.774493 | lrm: 1.00 | dt: 617ms | tok/sec: 849,750 | mfu: 23.8% | epoch: 1 | remaining: 260s    
step 00076 (13.3%) | loss: 4.759834 | lrm: 1.00 | dt: 617ms | tok/sec: 849,263 | mfu: 23.8% | epoch: 1 | remaining: 259s    
step 00077 (13.6%) | loss: 4.750199 | lrm: 1.00 | dt: 617ms | tok/sec: 849,316 | mfu: 23.8% | epoch: 1 | remaining: 259s    
step 00078 (13.8%) | loss: 4.733433 | lrm: 1.00 | dt: 618ms | tok/sec: 848,409 | mfu: 23.7% | epoch: 1 | remaining: 258s    
step 00079 (14.0%) | loss: 4.717317 | lrm: 1.00 | dt: 617ms | tok/sec: 849,399 | mfu: 23.8% | epoch: 1 | remaining: 257s    
