Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=72 binary=001001
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'rmsnorm', 'attention_type': 'standard', 'mlp_type': 'swiglu', 'use_value_embeddings': False, 'use_qk_norm': False, 'rope_base': 50000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 0
  lm_head                 : 4,194,304
  transformer_matrices    : 33,554,432
  scalars                 : 16
  total                   : 41,943,056
Estimated FLOPs per token: 3.271557e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011380 | lrm: 1.00 | dt: 2777ms | tok/sec: 188,805 | mfu: 6.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.853473 | lrm: 1.00 | dt: 683ms | tok/sec: 767,936 | mfu: 25.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.462286 | lrm: 1.00 | dt: 683ms | tok/sec: 767,702 | mfu: 25.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.004125 | lrm: 1.00 | dt: 683ms | tok/sec: 767,598 | mfu: 25.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.609360 | lrm: 1.00 | dt: 685ms | tok/sec: 765,683 | mfu: 25.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.269855 | lrm: 1.00 | dt: 684ms | tok/sec: 766,302 | mfu: 25.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.017146 | lrm: 1.00 | dt: 685ms | tok/sec: 765,455 | mfu: 25.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.810021 | lrm: 1.00 | dt: 684ms | tok/sec: 766,410 | mfu: 25.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.633631 | lrm: 1.00 | dt: 685ms | tok/sec: 765,433 | mfu: 25.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.482558 | lrm: 1.00 | dt: 685ms | tok/sec: 764,868 | mfu: 25.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.357752 | lrm: 1.00 | dt: 686ms | tok/sec: 764,809 | mfu: 25.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.250775 | lrm: 1.00 | dt: 684ms | tok/sec: 766,095 | mfu: 25.3% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.157343 | lrm: 1.00 | dt: 687ms | tok/sec: 763,090 | mfu: 25.2% | epoch: 1 | remaining: 299s    
step 00013 (0.5%) | loss: 6.078927 | lrm: 1.00 | dt: 686ms | tok/sec: 763,981 | mfu: 25.3% | epoch: 1 | remaining: 298s    
step 00014 (0.7%) | loss: 6.003910 | lrm: 1.00 | dt: 686ms | tok/sec: 764,780 | mfu: 25.3% | epoch: 1 | remaining: 297s    
step 00015 (0.9%) | loss: 5.941185 | lrm: 1.00 | dt: 687ms | tok/sec: 762,973 | mfu: 25.2% | epoch: 1 | remaining: 297s    
step 00016 (1.1%) | loss: 5.884737 | lrm: 1.00 | dt: 686ms | tok/sec: 764,097 | mfu: 25.3% | epoch: 1 | remaining: 296s    
step 00017 (1.4%) | loss: 5.833198 | lrm: 1.00 | dt: 686ms | tok/sec: 764,734 | mfu: 25.3% | epoch: 1 | remaining: 295s    
step 00018 (1.6%) | loss: 5.786611 | lrm: 1.00 | dt: 687ms | tok/sec: 763,520 | mfu: 25.2% | epoch: 1 | remaining: 295s    
step 00019 (1.8%) | loss: 5.746820 | lrm: 1.00 | dt: 687ms | tok/sec: 763,338 | mfu: 25.2% | epoch: 1 | remaining: 294s    
step 00020 (2.1%) | loss: 5.710656 | lrm: 1.00 | dt: 687ms | tok/sec: 763,612 | mfu: 25.2% | epoch: 1 | remaining: 293s    
step 00021 (2.3%) | loss: 5.675783 | lrm: 1.00 | dt: 688ms | tok/sec: 762,502 | mfu: 25.2% | epoch: 1 | remaining: 292s    
step 00022 (2.5%) | loss: 5.642394 | lrm: 1.00 | dt: 687ms | tok/sec: 763,251 | mfu: 25.2% | epoch: 1 | remaining: 292s    
step 00023 (2.7%) | loss: 5.613076 | lrm: 1.00 | dt: 687ms | tok/sec: 763,661 | mfu: 25.2% | epoch: 1 | remaining: 291s    
step 00024 (3.0%) | loss: 5.585923 | lrm: 1.00 | dt: 690ms | tok/sec: 760,160 | mfu: 25.1% | epoch: 1 | remaining: 290s    
step 00025 (3.2%) | loss: 5.560167 | lrm: 1.00 | dt: 689ms | tok/sec: 761,118 | mfu: 25.2% | epoch: 1 | remaining: 290s    
step 00026 (3.4%) | loss: 5.532517 | lrm: 1.00 | dt: 689ms | tok/sec: 760,450 | mfu: 25.1% | epoch: 1 | remaining: 289s    
step 00027 (3.7%) | loss: 5.509997 | lrm: 1.00 | dt: 690ms | tok/sec: 759,899 | mfu: 25.1% | epoch: 1 | remaining: 288s    
step 00028 (3.9%) | loss: 5.489152 | lrm: 1.00 | dt: 689ms | tok/sec: 760,922 | mfu: 25.2% | epoch: 1 | remaining: 288s    
step 00029 (4.1%) | loss: 5.470656 | lrm: 1.00 | dt: 690ms | tok/sec: 759,819 | mfu: 25.1% | epoch: 1 | remaining: 287s    
step 00030 (4.4%) | loss: 5.449268 | lrm: 1.00 | dt: 688ms | tok/sec: 762,457 | mfu: 25.2% | epoch: 1 | remaining: 286s    
step 00031 (4.6%) | loss: 5.427756 | lrm: 1.00 | dt: 689ms | tok/sec: 761,476 | mfu: 25.2% | epoch: 1 | remaining: 286s    
step 00032 (4.8%) | loss: 5.408831 | lrm: 1.00 | dt: 687ms | tok/sec: 763,380 | mfu: 25.2% | epoch: 1 | remaining: 285s    
step 00033 (5.0%) | loss: 5.388412 | lrm: 1.00 | dt: 691ms | tok/sec: 759,020 | mfu: 25.1% | epoch: 1 | remaining: 284s    
step 00034 (5.3%) | loss: 5.365258 | lrm: 1.00 | dt: 689ms | tok/sec: 761,118 | mfu: 25.2% | epoch: 1 | remaining: 283s    
step 00035 (5.5%) | loss: 5.344155 | lrm: 1.00 | dt: 691ms | tok/sec: 759,027 | mfu: 25.1% | epoch: 1 | remaining: 283s    
step 00036 (5.7%) | loss: 5.327418 | lrm: 1.00 | dt: 689ms | tok/sec: 760,691 | mfu: 25.2% | epoch: 1 | remaining: 282s    
