Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=77 binary=110110
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'layernorm', 'attention_type': 'sliding_window', 'mlp_type': 'relu2', 'use_value_embeddings': True, 'use_qk_norm': True, 'rope_base': 10000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011375 | lrm: 1.00 | dt: 2926ms | tok/sec: 179,175 | mfu: 4.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.185914 | lrm: 1.00 | dt: 647ms | tok/sec: 810,594 | mfu: 19.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.145079 | lrm: 1.00 | dt: 648ms | tok/sec: 809,526 | mfu: 19.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.811393 | lrm: 1.00 | dt: 647ms | tok/sec: 809,962 | mfu: 19.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.500444 | lrm: 1.00 | dt: 647ms | tok/sec: 810,207 | mfu: 19.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.190379 | lrm: 1.00 | dt: 647ms | tok/sec: 810,064 | mfu: 19.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.916594 | lrm: 1.00 | dt: 647ms | tok/sec: 809,755 | mfu: 19.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.684244 | lrm: 1.00 | dt: 648ms | tok/sec: 809,657 | mfu: 19.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.464014 | lrm: 1.00 | dt: 648ms | tok/sec: 809,477 | mfu: 19.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.251255 | lrm: 1.00 | dt: 648ms | tok/sec: 809,068 | mfu: 19.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.063555 | lrm: 1.00 | dt: 648ms | tok/sec: 809,283 | mfu: 19.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.895373 | lrm: 1.00 | dt: 648ms | tok/sec: 809,153 | mfu: 19.6% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.744675 | lrm: 1.00 | dt: 648ms | tok/sec: 809,006 | mfu: 19.5% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.608166 | lrm: 1.00 | dt: 648ms | tok/sec: 808,496 | mfu: 19.5% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 6.485749 | lrm: 1.00 | dt: 648ms | tok/sec: 808,542 | mfu: 19.5% | epoch: 1 | remaining: 297s    
step 00015 (0.9%) | loss: 6.379698 | lrm: 1.00 | dt: 648ms | tok/sec: 808,827 | mfu: 19.5% | epoch: 1 | remaining: 297s    
step 00016 (1.1%) | loss: 6.284509 | lrm: 1.00 | dt: 649ms | tok/sec: 808,378 | mfu: 19.5% | epoch: 1 | remaining: 296s    
step 00017 (1.3%) | loss: 6.198650 | lrm: 1.00 | dt: 649ms | tok/sec: 807,733 | mfu: 19.5% | epoch: 1 | remaining: 295s    
step 00018 (1.5%) | loss: 6.122206 | lrm: 1.00 | dt: 649ms | tok/sec: 808,377 | mfu: 19.5% | epoch: 1 | remaining: 295s    
step 00019 (1.7%) | loss: 6.053626 | lrm: 1.00 | dt: 649ms | tok/sec: 808,455 | mfu: 19.5% | epoch: 1 | remaining: 294s    
step 00020 (1.9%) | loss: 5.990737 | lrm: 1.00 | dt: 649ms | tok/sec: 808,316 | mfu: 19.5% | epoch: 1 | remaining: 294s    
step 00021 (2.2%) | loss: 5.932350 | lrm: 1.00 | dt: 648ms | tok/sec: 808,482 | mfu: 19.5% | epoch: 1 | remaining: 293s    
step 00022 (2.4%) | loss: 5.878729 | lrm: 1.00 | dt: 648ms | tok/sec: 808,516 | mfu: 19.5% | epoch: 1 | remaining: 292s    
step 00023 (2.6%) | loss: 5.830556 | lrm: 1.00 | dt: 649ms | tok/sec: 808,315 | mfu: 19.5% | epoch: 1 | remaining: 292s    
step 00024 (2.8%) | loss: 5.785888 | lrm: 1.00 | dt: 649ms | tok/sec: 808,398 | mfu: 19.5% | epoch: 1 | remaining: 291s    
step 00025 (3.0%) | loss: 5.744041 | lrm: 1.00 | dt: 649ms | tok/sec: 808,332 | mfu: 19.5% | epoch: 1 | remaining: 290s    
step 00026 (3.2%) | loss: 5.701694 | lrm: 1.00 | dt: 649ms | tok/sec: 808,087 | mfu: 19.5% | epoch: 1 | remaining: 290s    
step 00027 (3.5%) | loss: 5.664355 | lrm: 1.00 | dt: 649ms | tok/sec: 808,443 | mfu: 19.5% | epoch: 1 | remaining: 289s    
step 00028 (3.7%) | loss: 5.628282 | lrm: 1.00 | dt: 649ms | tok/sec: 808,095 | mfu: 19.5% | epoch: 1 | remaining: 288s    
step 00029 (3.9%) | loss: 5.594564 | lrm: 1.00 | dt: 649ms | tok/sec: 808,032 | mfu: 19.5% | epoch: 1 | remaining: 288s    
step 00030 (4.1%) | loss: 5.561371 | lrm: 1.00 | dt: 649ms | tok/sec: 807,364 | mfu: 19.5% | epoch: 1 | remaining: 287s    
step 00031 (4.3%) | loss: 5.525954 | lrm: 1.00 | dt: 649ms | tok/sec: 807,893 | mfu: 19.5% | epoch: 1 | remaining: 286s    
step 00032 (4.5%) | loss: 5.493499 | lrm: 1.00 | dt: 649ms | tok/sec: 807,901 | mfu: 19.5% | epoch: 1 | remaining: 286s    
step 00033 (4.8%) | loss: 5.459845 | lrm: 1.00 | dt: 649ms | tok/sec: 808,286 | mfu: 19.5% | epoch: 1 | remaining: 285s    
step 00034 (5.0%) | loss: 5.424463 | lrm: 1.00 | dt: 649ms | tok/sec: 807,716 | mfu: 19.5% | epoch: 1 | remaining: 284s    
step 00035 (5.2%) | loss: 5.392373 | lrm: 1.00 | dt: 649ms | tok/sec: 807,793 | mfu: 19.5% | epoch: 1 | remaining: 284s    
step 00036 (5.4%) | loss: 5.363337 | lrm: 1.00 | dt: 649ms | tok/sec: 807,980 | mfu: 19.5% | epoch: 1 | remaining: 283s    
