Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=79 binary=000000
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'rmsnorm', 'attention_type': 'standard', 'mlp_type': 'relu2', 'use_value_embeddings': False, 'use_qk_norm': False, 'rope_base': 10000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 0
  lm_head                 : 4,194,304
  transformer_matrices    : 25,165,824
  scalars                 : 16
  total                   : 33,554,448
Estimated FLOPs per token: 2.768241e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011380 | lrm: 1.00 | dt: 2730ms | tok/sec: 192,080 | mfu: 5.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854863 | lrm: 1.00 | dt: 564ms | tok/sec: 929,156 | mfu: 26.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.447833 | lrm: 1.00 | dt: 565ms | tok/sec: 928,592 | mfu: 26.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.981888 | lrm: 1.00 | dt: 565ms | tok/sec: 927,186 | mfu: 25.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.588670 | lrm: 1.00 | dt: 565ms | tok/sec: 927,673 | mfu: 26.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.258758 | lrm: 1.00 | dt: 565ms | tok/sec: 928,586 | mfu: 26.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.008130 | lrm: 1.00 | dt: 565ms | tok/sec: 927,853 | mfu: 26.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.798597 | lrm: 1.00 | dt: 566ms | tok/sec: 925,834 | mfu: 25.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.618358 | lrm: 1.00 | dt: 566ms | tok/sec: 926,948 | mfu: 25.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.467636 | lrm: 1.00 | dt: 565ms | tok/sec: 927,887 | mfu: 26.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.338918 | lrm: 1.00 | dt: 567ms | tok/sec: 925,163 | mfu: 25.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.231352 | lrm: 1.00 | dt: 567ms | tok/sec: 924,731 | mfu: 25.9% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.135286 | lrm: 1.00 | dt: 565ms | tok/sec: 927,261 | mfu: 25.9% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.049396 | lrm: 1.00 | dt: 567ms | tok/sec: 924,952 | mfu: 25.9% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 5.976954 | lrm: 1.00 | dt: 567ms | tok/sec: 924,691 | mfu: 25.9% | epoch: 1 | remaining: 298s    
step 00015 (0.8%) | loss: 5.911719 | lrm: 1.00 | dt: 566ms | tok/sec: 926,885 | mfu: 25.9% | epoch: 1 | remaining: 297s    
step 00016 (0.9%) | loss: 5.852730 | lrm: 1.00 | dt: 568ms | tok/sec: 923,812 | mfu: 25.8% | epoch: 1 | remaining: 297s    
step 00017 (1.1%) | loss: 5.799387 | lrm: 1.00 | dt: 567ms | tok/sec: 924,829 | mfu: 25.9% | epoch: 1 | remaining: 296s    
step 00018 (1.3%) | loss: 5.752470 | lrm: 1.00 | dt: 566ms | tok/sec: 926,077 | mfu: 25.9% | epoch: 1 | remaining: 295s    
step 00019 (1.5%) | loss: 5.709256 | lrm: 1.00 | dt: 568ms | tok/sec: 922,479 | mfu: 25.8% | epoch: 1 | remaining: 295s    
step 00020 (1.7%) | loss: 5.669756 | lrm: 1.00 | dt: 567ms | tok/sec: 924,772 | mfu: 25.9% | epoch: 1 | remaining: 294s    
step 00021 (1.9%) | loss: 5.633016 | lrm: 1.00 | dt: 567ms | tok/sec: 925,370 | mfu: 25.9% | epoch: 1 | remaining: 294s    
step 00022 (2.1%) | loss: 5.601080 | lrm: 1.00 | dt: 568ms | tok/sec: 922,694 | mfu: 25.8% | epoch: 1 | remaining: 293s    
step 00023 (2.3%) | loss: 5.568434 | lrm: 1.00 | dt: 566ms | tok/sec: 925,837 | mfu: 25.9% | epoch: 1 | remaining: 293s    
step 00024 (2.5%) | loss: 5.537495 | lrm: 1.00 | dt: 567ms | tok/sec: 924,613 | mfu: 25.9% | epoch: 1 | remaining: 292s    
step 00025 (2.6%) | loss: 5.511040 | lrm: 1.00 | dt: 569ms | tok/sec: 922,013 | mfu: 25.8% | epoch: 1 | remaining: 291s    
step 00026 (2.8%) | loss: 5.482535 | lrm: 1.00 | dt: 566ms | tok/sec: 925,598 | mfu: 25.9% | epoch: 1 | remaining: 291s    
step 00027 (3.0%) | loss: 5.459702 | lrm: 1.00 | dt: 568ms | tok/sec: 922,484 | mfu: 25.8% | epoch: 1 | remaining: 290s    
step 00028 (3.2%) | loss: 5.439825 | lrm: 1.00 | dt: 568ms | tok/sec: 923,691 | mfu: 25.8% | epoch: 1 | remaining: 290s    
step 00029 (3.4%) | loss: 5.420210 | lrm: 1.00 | dt: 567ms | tok/sec: 925,011 | mfu: 25.9% | epoch: 1 | remaining: 289s    
step 00030 (3.6%) | loss: 5.401143 | lrm: 1.00 | dt: 569ms | tok/sec: 921,496 | mfu: 25.8% | epoch: 1 | remaining: 289s    
step 00031 (3.8%) | loss: 5.379937 | lrm: 1.00 | dt: 567ms | tok/sec: 925,178 | mfu: 25.9% | epoch: 1 | remaining: 288s    
step 00032 (4.0%) | loss: 5.361348 | lrm: 1.00 | dt: 569ms | tok/sec: 921,805 | mfu: 25.8% | epoch: 1 | remaining: 288s    
step 00033 (4.2%) | loss: 5.341580 | lrm: 1.00 | dt: 568ms | tok/sec: 922,439 | mfu: 25.8% | epoch: 1 | remaining: 287s    
step 00034 (4.3%) | loss: 5.320913 | lrm: 1.00 | dt: 567ms | tok/sec: 925,379 | mfu: 25.9% | epoch: 1 | remaining: 286s    
step 00035 (4.5%) | loss: 5.307515 | lrm: 1.00 | dt: 569ms | tok/sec: 921,740 | mfu: 25.8% | epoch: 1 | remaining: 286s    
step 00036 (4.7%) | loss: 5.292279 | lrm: 1.00 | dt: 567ms | tok/sec: 924,538 | mfu: 25.9% | epoch: 1 | remaining: 285s    
step 00037 (4.9%) | loss: 5.274796 | lrm: 1.00 | dt: 569ms | tok/sec: 921,512 | mfu: 25.8% | epoch: 1 | remaining: 285s    
step 00038 (5.1%) | loss: 5.258980 | lrm: 1.00 | dt: 568ms | tok/sec: 922,337 | mfu: 25.8% | epoch: 1 | remaining: 284s    
step 00039 (5.3%) | loss: 5.239549 | lrm: 1.00 | dt: 568ms | tok/sec: 922,473 | mfu: 25.8% | epoch: 1 | remaining: 284s    
step 00040 (5.5%) | loss: 5.218957 | lrm: 1.00 | dt: 569ms | tok/sec: 920,724 | mfu: 25.8% | epoch: 1 | remaining: 283s    
step 00041 (5.7%) | loss: 5.201711 | lrm: 1.00 | dt: 567ms | tok/sec: 925,457 | mfu: 25.9% | epoch: 1 | remaining: 282s    
step 00042 (5.9%) | loss: 5.183908 | lrm: 1.00 | dt: 570ms | tok/sec: 920,588 | mfu: 25.8% | epoch: 1 | remaining: 282s    
step 00043 (6.1%) | loss: 5.165123 | lrm: 1.00 | dt: 568ms | tok/sec: 923,362 | mfu: 25.8% | epoch: 1 | remaining: 281s    
step 00044 (6.2%) | loss: 5.145256 | lrm: 1.00 | dt: 569ms | tok/sec: 921,039 | mfu: 25.8% | epoch: 1 | remaining: 281s    
step 00045 (6.4%) | loss: 5.124499 | lrm: 1.00 | dt: 569ms | tok/sec: 921,759 | mfu: 25.8% | epoch: 1 | remaining: 280s    
step 00046 (6.6%) | loss: 5.103405 | lrm: 1.00 | dt: 568ms | tok/sec: 922,858 | mfu: 25.8% | epoch: 1 | remaining: 280s    
step 00047 (6.8%) | loss: 5.081473 | lrm: 1.00 | dt: 570ms | tok/sec: 920,292 | mfu: 25.7% | epoch: 1 | remaining: 279s    
step 00048 (7.0%) | loss: 5.065256 | lrm: 1.00 | dt: 567ms | tok/sec: 924,166 | mfu: 25.9% | epoch: 1 | remaining: 278s    
step 00049 (7.2%) | loss: 5.044304 | lrm: 1.00 | dt: 570ms | tok/sec: 919,656 | mfu: 25.7% | epoch: 1 | remaining: 278s    
step 00050 (7.4%) | loss: 5.022118 | lrm: 1.00 | dt: 567ms | tok/sec: 924,104 | mfu: 25.9% | epoch: 1 | remaining: 277s    
step 00051 (7.6%) | loss: 5.006966 | lrm: 1.00 | dt: 570ms | tok/sec: 920,473 | mfu: 25.8% | epoch: 1 | remaining: 277s    
step 00052 (7.8%) | loss: 4.988534 | lrm: 1.00 | dt: 568ms | tok/sec: 922,632 | mfu: 25.8% | epoch: 1 | remaining: 276s    
step 00053 (7.9%) | loss: 4.971078 | lrm: 1.00 | dt: 569ms | tok/sec: 921,173 | mfu: 25.8% | epoch: 1 | remaining: 276s    
step 00054 (8.1%) | loss: 4.955465 | lrm: 1.00 | dt: 569ms | tok/sec: 920,964 | mfu: 25.8% | epoch: 1 | remaining: 275s    
step 00055 (8.3%) | loss: 4.939875 | lrm: 1.00 | dt: 568ms | tok/sec: 922,598 | mfu: 25.8% | epoch: 1 | remaining: 274s    
step 00056 (8.5%) | loss: 4.924683 | lrm: 1.00 | dt: 570ms | tok/sec: 919,778 | mfu: 25.7% | epoch: 1 | remaining: 274s    
step 00057 (8.7%) | loss: 4.906419 | lrm: 1.00 | dt: 568ms | tok/sec: 923,753 | mfu: 25.8% | epoch: 1 | remaining: 273s    
step 00058 (8.9%) | loss: 4.888242 | lrm: 1.00 | dt: 570ms | tok/sec: 919,208 | mfu: 25.7% | epoch: 1 | remaining: 273s    
step 00059 (9.1%) | loss: 4.872486 | lrm: 1.00 | dt: 568ms | tok/sec: 923,063 | mfu: 25.8% | epoch: 1 | remaining: 272s    
step 00060 (9.3%) | loss: 4.857287 | lrm: 1.00 | dt: 571ms | tok/sec: 918,121 | mfu: 25.7% | epoch: 1 | remaining: 272s    
step 00061 (9.5%) | loss: 4.839087 | lrm: 1.00 | dt: 568ms | tok/sec: 922,722 | mfu: 25.8% | epoch: 1 | remaining: 271s    
step 00062 (9.7%) | loss: 4.819946 | lrm: 1.00 | dt: 571ms | tok/sec: 918,418 | mfu: 25.7% | epoch: 1 | remaining: 270s    
step 00063 (9.8%) | loss: 4.801891 | lrm: 1.00 | dt: 568ms | tok/sec: 922,922 | mfu: 25.8% | epoch: 1 | remaining: 270s    
step 00064 (10.0%) | loss: 4.784744 | lrm: 1.00 | dt: 570ms | tok/sec: 919,062 | mfu: 25.7% | epoch: 1 | remaining: 269s    
step 00065 (10.2%) | loss: 4.767162 | lrm: 1.00 | dt: 569ms | tok/sec: 920,870 | mfu: 25.8% | epoch: 1 | remaining: 269s    
step 00066 (10.4%) | loss: 5.219672 | lrm: 1.00 | dt: 571ms | tok/sec: 918,100 | mfu: 25.7% | epoch: 1 | remaining: 268s    
step 00067 (10.6%) | loss: 5.174374 | lrm: 1.00 | dt: 569ms | tok/sec: 921,419 | mfu: 25.8% | epoch: 1 | remaining: 268s    
