Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=81 binary=001111
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'rmsnorm', 'attention_type': 'standard', 'mlp_type': 'swiglu', 'use_value_embeddings': True, 'use_qk_norm': True, 'rope_base': 50000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 33,554,944
  scalars                 : 16
  total                   : 58,720,784
Estimated FLOPs per token: 3.271588e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011380 | lrm: 1.00 | dt: 3017ms | tok/sec: 173,754 | mfu: 5.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.853479 | lrm: 1.00 | dt: 704ms | tok/sec: 745,103 | mfu: 24.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.460839 | lrm: 1.00 | dt: 705ms | tok/sec: 743,899 | mfu: 24.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.001437 | lrm: 1.00 | dt: 704ms | tok/sec: 744,556 | mfu: 24.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.615037 | lrm: 1.00 | dt: 705ms | tok/sec: 743,795 | mfu: 24.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.275540 | lrm: 1.00 | dt: 705ms | tok/sec: 743,532 | mfu: 24.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.023106 | lrm: 1.00 | dt: 705ms | tok/sec: 743,827 | mfu: 24.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.815334 | lrm: 1.00 | dt: 705ms | tok/sec: 743,556 | mfu: 24.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.638261 | lrm: 1.00 | dt: 705ms | tok/sec: 743,344 | mfu: 24.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.488256 | lrm: 1.00 | dt: 706ms | tok/sec: 742,974 | mfu: 24.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.363281 | lrm: 1.00 | dt: 706ms | tok/sec: 742,479 | mfu: 24.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.254663 | lrm: 1.00 | dt: 706ms | tok/sec: 742,468 | mfu: 24.5% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.159224 | lrm: 1.00 | dt: 707ms | tok/sec: 741,906 | mfu: 24.5% | epoch: 1 | remaining: 299s    
step 00013 (0.5%) | loss: 6.079474 | lrm: 1.00 | dt: 707ms | tok/sec: 742,058 | mfu: 24.5% | epoch: 1 | remaining: 298s    
step 00014 (0.7%) | loss: 6.003929 | lrm: 1.00 | dt: 707ms | tok/sec: 741,975 | mfu: 24.5% | epoch: 1 | remaining: 297s    
step 00015 (0.9%) | loss: 5.941536 | lrm: 1.00 | dt: 708ms | tok/sec: 740,852 | mfu: 24.5% | epoch: 1 | remaining: 296s    
step 00016 (1.2%) | loss: 5.884505 | lrm: 1.00 | dt: 707ms | tok/sec: 741,502 | mfu: 24.5% | epoch: 1 | remaining: 296s    
step 00017 (1.4%) | loss: 5.831184 | lrm: 1.00 | dt: 707ms | tok/sec: 741,595 | mfu: 24.5% | epoch: 1 | remaining: 295s    
step 00018 (1.6%) | loss: 5.782704 | lrm: 1.00 | dt: 707ms | tok/sec: 741,344 | mfu: 24.5% | epoch: 1 | remaining: 294s    
step 00019 (1.9%) | loss: 5.741419 | lrm: 1.00 | dt: 707ms | tok/sec: 741,151 | mfu: 24.5% | epoch: 1 | remaining: 294s    
step 00020 (2.1%) | loss: 5.704002 | lrm: 1.00 | dt: 709ms | tok/sec: 739,818 | mfu: 24.5% | epoch: 1 | remaining: 293s    
step 00021 (2.4%) | loss: 5.667190 | lrm: 1.00 | dt: 707ms | tok/sec: 741,183 | mfu: 24.5% | epoch: 1 | remaining: 292s    
step 00022 (2.6%) | loss: 5.630903 | lrm: 1.00 | dt: 708ms | tok/sec: 740,770 | mfu: 24.5% | epoch: 1 | remaining: 292s    
step 00023 (2.8%) | loss: 5.597695 | lrm: 1.00 | dt: 709ms | tok/sec: 739,681 | mfu: 24.5% | epoch: 1 | remaining: 291s    
step 00024 (3.1%) | loss: 5.566258 | lrm: 1.00 | dt: 708ms | tok/sec: 740,645 | mfu: 24.5% | epoch: 1 | remaining: 290s    
step 00025 (3.3%) | loss: 5.535771 | lrm: 1.00 | dt: 709ms | tok/sec: 739,504 | mfu: 24.5% | epoch: 1 | remaining: 289s    
step 00026 (3.5%) | loss: 5.503221 | lrm: 1.00 | dt: 710ms | tok/sec: 738,805 | mfu: 24.4% | epoch: 1 | remaining: 289s    
step 00027 (3.8%) | loss: 5.475417 | lrm: 1.00 | dt: 710ms | tok/sec: 738,904 | mfu: 24.4% | epoch: 1 | remaining: 288s    
step 00028 (4.0%) | loss: 5.448399 | lrm: 1.00 | dt: 710ms | tok/sec: 738,718 | mfu: 24.4% | epoch: 1 | remaining: 287s    
step 00029 (4.2%) | loss: 5.422898 | lrm: 1.00 | dt: 710ms | tok/sec: 738,510 | mfu: 24.4% | epoch: 1 | remaining: 287s    
step 00030 (4.5%) | loss: 5.396132 | lrm: 1.00 | dt: 710ms | tok/sec: 738,523 | mfu: 24.4% | epoch: 1 | remaining: 286s    
step 00031 (4.7%) | loss: 5.367942 | lrm: 1.00 | dt: 709ms | tok/sec: 739,220 | mfu: 24.4% | epoch: 1 | remaining: 285s    
step 00032 (5.0%) | loss: 5.343268 | lrm: 1.00 | dt: 709ms | tok/sec: 739,340 | mfu: 24.4% | epoch: 1 | remaining: 284s    
step 00033 (5.2%) | loss: 5.315494 | lrm: 1.00 | dt: 709ms | tok/sec: 738,989 | mfu: 24.4% | epoch: 1 | remaining: 284s    
step 00034 (5.4%) | loss: 5.285687 | lrm: 1.00 | dt: 709ms | tok/sec: 739,607 | mfu: 24.5% | epoch: 1 | remaining: 283s    
step 00035 (5.7%) | loss: 5.258373 | lrm: 1.00 | dt: 709ms | tok/sec: 739,093 | mfu: 24.4% | epoch: 1 | remaining: 282s    
step 00036 (5.9%) | loss: 5.234357 | lrm: 1.00 | dt: 710ms | tok/sec: 738,469 | mfu: 24.4% | epoch: 1 | remaining: 282s    
