Warning: Flash-Attention 3 kernels are unavailable for compute capability (12, 0); falling back to torch SDPA.
Vocab size: 8,192
Blueprint metadata run_id=94 binary=011100
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'norm_type': 'rmsnorm', 'attention_type': 'sliding_window', 'mlp_type': 'swiglu', 'use_value_embeddings': True, 'use_qk_norm': False, 'rope_base': 10000.0}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 33,554,944
  scalars                 : 16
  total                   : 58,720,784
Estimated FLOPs per token: 2.894100e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011380 | lrm: 1.00 | dt: 3194ms | tok/sec: 164,132 | mfu: 4.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.853434 | lrm: 1.00 | dt: 692ms | tok/sec: 758,125 | mfu: 22.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.460892 | lrm: 1.00 | dt: 692ms | tok/sec: 757,260 | mfu: 22.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.001487 | lrm: 1.00 | dt: 691ms | tok/sec: 758,488 | mfu: 22.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.609447 | lrm: 1.00 | dt: 692ms | tok/sec: 757,541 | mfu: 22.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.271507 | lrm: 1.00 | dt: 692ms | tok/sec: 757,420 | mfu: 22.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.018570 | lrm: 1.00 | dt: 693ms | tok/sec: 756,787 | mfu: 22.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.809943 | lrm: 1.00 | dt: 693ms | tok/sec: 756,216 | mfu: 22.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.632662 | lrm: 1.00 | dt: 692ms | tok/sec: 757,324 | mfu: 22.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.481076 | lrm: 1.00 | dt: 693ms | tok/sec: 756,330 | mfu: 22.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.356124 | lrm: 1.00 | dt: 694ms | tok/sec: 755,587 | mfu: 22.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.248895 | lrm: 1.00 | dt: 693ms | tok/sec: 756,577 | mfu: 22.1% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.155418 | lrm: 1.00 | dt: 693ms | tok/sec: 756,356 | mfu: 22.1% | epoch: 1 | remaining: 299s    
step 00013 (0.5%) | loss: 6.072030 | lrm: 1.00 | dt: 694ms | tok/sec: 754,953 | mfu: 22.1% | epoch: 1 | remaining: 298s    
step 00014 (0.7%) | loss: 5.997438 | lrm: 1.00 | dt: 694ms | tok/sec: 755,627 | mfu: 22.1% | epoch: 1 | remaining: 297s    
step 00015 (0.9%) | loss: 5.934207 | lrm: 1.00 | dt: 693ms | tok/sec: 756,140 | mfu: 22.1% | epoch: 1 | remaining: 297s    
step 00016 (1.2%) | loss: 5.876704 | lrm: 1.00 | dt: 695ms | tok/sec: 754,472 | mfu: 22.1% | epoch: 1 | remaining: 296s    
step 00017 (1.4%) | loss: 5.823096 | lrm: 1.00 | dt: 695ms | tok/sec: 753,905 | mfu: 22.1% | epoch: 1 | remaining: 295s    
step 00018 (1.6%) | loss: 5.774000 | lrm: 1.00 | dt: 694ms | tok/sec: 755,526 | mfu: 22.1% | epoch: 1 | remaining: 294s    
step 00019 (1.9%) | loss: 5.731723 | lrm: 1.00 | dt: 695ms | tok/sec: 754,779 | mfu: 22.1% | epoch: 1 | remaining: 294s    
step 00020 (2.1%) | loss: 5.693257 | lrm: 1.00 | dt: 697ms | tok/sec: 752,677 | mfu: 22.0% | epoch: 1 | remaining: 293s    
step 00021 (2.3%) | loss: 5.655565 | lrm: 1.00 | dt: 696ms | tok/sec: 753,491 | mfu: 22.0% | epoch: 1 | remaining: 292s    
step 00022 (2.5%) | loss: 5.619014 | lrm: 1.00 | dt: 695ms | tok/sec: 754,103 | mfu: 22.1% | epoch: 1 | remaining: 292s    
step 00023 (2.8%) | loss: 5.585501 | lrm: 1.00 | dt: 695ms | tok/sec: 753,949 | mfu: 22.1% | epoch: 1 | remaining: 291s    
step 00024 (3.0%) | loss: 5.553199 | lrm: 1.00 | dt: 696ms | tok/sec: 753,765 | mfu: 22.0% | epoch: 1 | remaining: 290s    
step 00025 (3.2%) | loss: 5.521865 | lrm: 1.00 | dt: 696ms | tok/sec: 752,919 | mfu: 22.0% | epoch: 1 | remaining: 290s    
step 00026 (3.5%) | loss: 5.488066 | lrm: 1.00 | dt: 697ms | tok/sec: 752,515 | mfu: 22.0% | epoch: 1 | remaining: 289s    
step 00027 (3.7%) | loss: 5.459490 | lrm: 1.00 | dt: 696ms | tok/sec: 753,055 | mfu: 22.0% | epoch: 1 | remaining: 288s    
step 00028 (3.9%) | loss: 5.431551 | lrm: 1.00 | dt: 696ms | tok/sec: 753,760 | mfu: 22.0% | epoch: 1 | remaining: 287s    
step 00029 (4.2%) | loss: 5.405978 | lrm: 1.00 | dt: 696ms | tok/sec: 752,839 | mfu: 22.0% | epoch: 1 | remaining: 287s    
step 00030 (4.4%) | loss: 5.378632 | lrm: 1.00 | dt: 698ms | tok/sec: 750,727 | mfu: 22.0% | epoch: 1 | remaining: 286s    
step 00031 (4.6%) | loss: 5.350018 | lrm: 1.00 | dt: 698ms | tok/sec: 751,523 | mfu: 22.0% | epoch: 1 | remaining: 285s    
step 00032 (4.9%) | loss: 5.324157 | lrm: 1.00 | dt: 697ms | tok/sec: 752,319 | mfu: 22.0% | epoch: 1 | remaining: 285s    
step 00033 (5.1%) | loss: 5.295999 | lrm: 1.00 | dt: 697ms | tok/sec: 752,343 | mfu: 22.0% | epoch: 1 | remaining: 284s    
step 00034 (5.3%) | loss: 5.265782 | lrm: 1.00 | dt: 696ms | tok/sec: 753,607 | mfu: 22.0% | epoch: 1 | remaining: 283s    
step 00035 (5.6%) | loss: 5.239039 | lrm: 1.00 | dt: 696ms | tok/sec: 753,187 | mfu: 22.0% | epoch: 1 | remaining: 283s    
step 00036 (5.8%) | loss: 5.215168 | lrm: 1.00 | dt: 698ms | tok/sec: 751,151 | mfu: 22.0% | epoch: 1 | remaining: 282s    
step 00037 (6.0%) | loss: 5.189276 | lrm: 1.00 | dt: 699ms | tok/sec: 749,636 | mfu: 21.9% | epoch: 1 | remaining: 281s    
step 00038 (6.3%) | loss: 5.164462 | lrm: 1.00 | dt: 699ms | tok/sec: 749,792 | mfu: 21.9% | epoch: 1 | remaining: 281s    
step 00039 (6.5%) | loss: 5.135217 | lrm: 1.00 | dt: 698ms | tok/sec: 751,271 | mfu: 22.0% | epoch: 1 | remaining: 280s    
step 00040 (6.7%) | loss: 5.106932 | lrm: 1.00 | dt: 698ms | tok/sec: 751,080 | mfu: 22.0% | epoch: 1 | remaining: 279s    
step 00041 (7.0%) | loss: 5.082660 | lrm: 1.00 | dt: 700ms | tok/sec: 749,308 | mfu: 21.9% | epoch: 1 | remaining: 278s    
step 00042 (7.2%) | loss: 5.059221 | lrm: 1.00 | dt: 700ms | tok/sec: 748,549 | mfu: 21.9% | epoch: 1 | remaining: 278s    
step 00043 (7.4%) | loss: 5.029989 | lrm: 1.00 | dt: 700ms | tok/sec: 749,477 | mfu: 21.9% | epoch: 1 | remaining: 277s    
step 00044 (7.7%) | loss: 5.004651 | lrm: 1.00 | dt: 700ms | tok/sec: 749,149 | mfu: 21.9% | epoch: 1 | remaining: 276s    
