run_id,val_bpb,binary_string,norm_type_choice,attention_type_choice,mlp_type_choice,value_embeddings_choice,qk_norm_choice,rope_base_choice,norm_type_one_frequency,attention_type_one_frequency,mlp_type_one_frequency,value_embeddings_one_frequency,qk_norm_one_frequency,rope_base_one_frequency
1,1.10243036,001010,RMSNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.00000000
2,1.08955866,011111,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.00000000,0.50000000,1.00000000,0.50000000,1.00000000,0.50000000
3,1.09082564,001110,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.00000000,0.33333333,1.00000000,0.66666667,1.00000000,0.33333333
4,1.10967982,100011,LayerNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.25000000,0.25000000,0.75000000,0.50000000,1.00000000,0.50000000
5,1.09081292,001110,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.20000000,0.20000000,0.80000000,0.60000000,1.00000000,0.40000000
1,1.11176361,101100,LayerNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000
2,1.10248925,111110,LayerNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,1.00000000,0.50000000,1.00000000,1.00000000,0.50000000,0.00000000
3,1.10325775,001010,RMSNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k,0.66666667,0.33333333,1.00000000,0.66666667,0.66666667,0.00000000
4,1.09827201,010000,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k,0.50000000,0.50000000,0.75000000,0.50000000,0.50000000,0.00000000
5,1.09214111,100110,LayerNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.60000000,0.40000000,0.60000000,0.60000000,0.60000000,0.00000000
6,1.08262439,010011,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.50000000,0.50000000,0.50000000,0.50000000,0.66666667,0.16666667
7,1.14149560,101000,LayerNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k,0.57142857,0.42857143,0.57142857,0.42857143,0.57142857,0.14285714
8,1.10963805,110011,LayerNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.62500000,0.50000000,0.50000000,0.37500000,0.62500000,0.25000000
9,1.10984357,100010,LayerNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k,0.66666667,0.44444444,0.44444444,0.33333333,0.66666667,0.22222222
10,1.10443641,011100,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.60000000,0.50000000,0.50000000,0.40000000,0.60000000,0.20000000
11,1.09098926,011110,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.54545455,0.54545455,0.54545455,0.45454545,0.63636364,0.18181818
12,1.07718799,010101,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.50000000,0.58333333,0.50000000,0.50000000,0.58333333,0.25000000
13,1.11110717,101101,LayerNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.53846154,0.53846154,0.53846154,0.53846154,0.53846154,0.30769231
14,1.09055621,110111,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.57142857,0.57142857,0.50000000,0.57142857,0.57142857,0.35714286
15,1.08803221,010010,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k,0.53333333,0.60000000,0.46666667,0.53333333,0.60000000,0.33333333
16,1.07121469,000111,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.50000000,0.56250000,0.43750000,0.56250000,0.62500000,0.37500000
17,1.11326159,101011,LayerNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.52941176,0.52941176,0.47058824,0.52941176,0.64705882,0.41176471
18,1.07516150,000101,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.50000000,0.50000000,0.44444444,0.55555556,0.61111111,0.44444444
19,1.10253685,101110,LayerNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.52631579,0.47368421,0.47368421,0.57894737,0.63157895,0.42105263
20,1.07822820,010101,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.50000000,0.50000000,0.45000000,0.60000000,0.60000000,0.45000000
21,1.07716376,010110,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.47619048,0.52380952,0.42857143,0.61904762,0.61904762,0.42857143
22,1.08451114,000101,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.45454545,0.50000000,0.40909091,0.63636364,0.59090909,0.45454545
23,1.13985860,101001,LayerNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,NoQKNorm,RoPEBase50k,0.47826087,0.47826087,0.43478261,0.60869565,0.56521739,0.47826087
24,1.08912963,110111,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.50000000,0.50000000,0.41666667,0.62500000,0.58333333,0.50000000
25,1.07950397,000100,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.48000000,0.48000000,0.40000000,0.64000000,0.56000000,0.48000000
