run_id,val_bpb,binary_string,head_commit,base_commit,added_lines,deleted_lines,changed_lines,train_total_lines,change_ratio,diff_hash,method,error
1,1.10243036,001010,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
2,1.08955866,011111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
3,1.09082564,001110,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
4,1.10967982,100011,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
5,1.09081292,001110,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
1,1.11176361,101100,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
2,1.10248925,111110,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
3,1.10325775,001010,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
4,1.09827201,010000,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
5,1.09214111,100110,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
6,1.08262439,010011,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
7,1.14149560,101000,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
8,1.10963805,110011,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
9,1.10984357,100010,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
10,1.10443641,011100,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
11,1.09098926,011110,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
12,1.07718799,010101,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
13,1.11110717,101101,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
14,1.09055621,110111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
15,1.08803221,010010,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
16,1.07121469,000111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
17,1.11326159,101011,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
18,1.07516150,000101,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
19,1.10253685,101110,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
20,1.07822820,010101,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
21,1.07716376,010110,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
22,1.08451114,000101,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
23,1.13985860,101001,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
24,1.08912963,110111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
25,1.07950397,000100,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
26,1.14150554,101000,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
27,1.10426523,010000,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
28,1.10252207,011011,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
29,1.08071602,010101,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
30,1.10548670,011101,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
31,1.11522881,111011,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
32,1.09771557,010000,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
33,1.10202536,110100,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
34,1.08815258,010011,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
35,1.07301585,000110,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
36,1.09010260,001111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
37,1.08978313,110111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
38,1.08421297,010101,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
39,1.09255815,110110,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
40,1.11052368,100011,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
41,1.06992156,000111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
42,1.11269678,101100,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
43,1.10503290,011100,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
44,1.07527225,010111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
45,1.10499026,001101,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
46,1.08691824,000010,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
47,1.10486090,011100,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
48,1.10372347,001010,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
49,1.07773485,010100,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
50,1.10489790,100100,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
