run,val_bpb,peak_vram_mb,training_seconds,total_seconds,status
1,1.08001100,45012.500,300.400,328.700,ok
2,1.08016500,45012.500,300.400,329.000,ok
3,1.08087000,45012.500,300.200,328.200,ok
4,1.08044100,45012.500,300.600,328.300,ok
5,1.08011200,45012.500,300.500,328.300,ok
6,1.07985600,45012.500,300.100,328.200,ok
7,1.08002600,45012.500,300.600,328.200,ok
8,1.08078700,45012.500,300.400,328.000,ok
9,1.07995100,45012.500,300.400,328.000,ok
10,1.08084900,45012.500,300.600,328.400,ok
11,1.08087200,45012.500,300.600,328.200,ok
12,1.08024200,45012.500,300.000,327.900,ok
13,1.08014600,45012.500,300.300,328.500,ok
14,1.08022400,45012.500,300.400,328.500,ok
15,1.07983300,45012.500,300.100,328.400,ok
16,1.08044000,45012.500,300.600,328.900,ok
17,1.08034000,45012.500,300.500,328.300,ok
18,1.08031300,45012.500,300.000,328.100,ok
19,1.08103800,45012.500,300.200,328.100,ok
20,1.08048300,45012.500,300.000,328.200,ok
21,1.08071700,45012.500,300.300,328.900,ok
22,1.08061100,45012.500,300.300,328.900,ok
23,1.08005700,45012.500,300.500,328.300,ok
24,1.07983100,45012.500,300.300,328.100,ok
25,1.08082300,45012.500,300.500,328.500,ok
26,1.08030300,45012.500,300.200,328.300,ok
27,1.08102800,45012.500,300.600,328.500,ok
28,1.07990700,45012.500,300.400,328.400,ok
29,1.08026300,45012.500,300.100,327.900,ok
30,1.08052000,45012.500,300.100,328.000,ok
31,1.08023200,45012.500,300.300,328.100,ok
32,1.08008200,45012.500,300.500,328.300,ok
33,1.08025800,45012.500,300.500,328.600,ok
34,1.07994600,45012.500,300.500,328.800,ok
35,1.08031200,45012.500,300.200,328.100,ok
36,1.08064000,45012.500,300.100,327.900,ok
37,1.08083300,45012.500,300.200,327.900,ok
38,1.08073500,45012.500,300.500,328.600,ok
39,1.07978800,45012.500,300.200,328.500,ok
40,1.08092400,45012.500,300.100,328.400,ok
41,1.08037700,45012.500,300.200,328.100,ok
42,1.08036800,45012.500,300.600,328.700,ok
43,1.08053100,45012.500,300.500,328.300,ok
44,1.08090000,45012.500,300.500,328.300,ok
45,1.08073900,45012.500,300.600,328.600,ok
46,1.08063200,45012.500,300.000,328.200,ok
47,1.08062500,45012.500,300.300,328.700,ok
48,1.07983600,45012.500,300.400,328.900,ok
49,1.08069300,45012.500,300.400,328.400,ok
50,1.08046100,45012.500,300.400,328.700,ok
51,1.08045700,45012.500,300.200,327.900,ok
52,1.08035500,45012.500,300.200,328.200,ok
53,1.08009300,45012.500,300.000,327.800,ok
54,1.08031300,45012.500,300.600,328.300,ok
55,1.08021900,45012.500,300.500,328.800,ok
56,1.08007800,45012.500,300.000,327.800,ok
57,1.08044600,45012.500,300.300,328.300,ok
58,1.08082600,45012.500,300.100,328.000,ok
59,1.07934500,45012.500,300.400,329.000,ok
60,1.07973100,45012.500,300.500,328.700,ok
61,1.08070700,45012.500,300.300,328.200,ok
62,1.08107500,45012.500,300.200,327.700,ok
63,1.08041900,45012.500,300.300,328.200,ok
64,1.08050500,45012.500,300.200,328.200,ok
65,1.08028400,45012.500,300.100,328.400,ok
66,1.07978500,45012.500,300.200,328.200,ok
67,1.08068200,45012.500,300.200,328.400,ok
68,1.08053100,45012.500,300.100,328.700,ok
69,1.08008600,45012.500,300.200,327.800,ok
70,1.08060100,45012.500,300.200,327.500,ok
71,1.08017100,45012.500,300.100,328.400,ok
72,1.08057100,45012.500,300.100,328.200,ok
73,1.08057000,45012.500,300.400,328.500,ok
74,1.08036600,45012.500,300.200,328.600,ok
75,1.07974300,45012.500,300.100,327.600,ok
76,1.08036000,45012.500,300.200,327.700,ok
77,1.08086600,45012.500,300.300,328.000,ok
78,1.08083300,45012.500,300.400,328.100,ok
79,1.08036000,45012.500,300.300,327.800,ok
80,1.08070200,45012.500,300.300,328.000,ok
81,1.08041800,45012.500,300.300,328.000,ok
82,1.08074400,45012.500,300.400,328.500,ok
83,1.08020100,45012.500,300.500,328.400,ok
84,1.07992400,45012.500,300.000,328.200,ok
85,1.08055100,45012.500,300.500,328.300,ok
86,1.07997600,45012.500,300.500,328.200,ok
87,1.08081900,45012.500,300.400,328.200,ok
88,1.08076600,45012.500,300.400,327.900,ok
89,1.08053700,45012.500,300.100,327.900,ok
90,1.08096200,45012.500,300.200,328.100,ok
91,1.07959500,45012.500,300.200,328.400,ok
92,1.08080000,45012.500,300.300,328.000,ok
93,1.08041500,45012.500,300.400,328.400,ok
94,1.08073100,45012.500,300.100,327.900,ok
95,1.08068500,45012.500,300.100,327.800,ok
96,1.08076700,45012.500,300.100,328.100,ok
97,1.08077300,45012.500,300.400,328.300,ok
98,1.08071100,45012.500,300.300,328.500,ok
99,1.08049300,45012.500,300.300,328.400,ok
100,1.08096000,45012.500,300.500,328.500,ok
